Iteration	Posterior	Likelihood	Prior	alpha_cytb[1]	alpha_cytb[2]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates_mean	diversification	extinction_rate	ln_branch_rates_mean	speciation_rate	turnover	variance_mean
0	-129809.2	-129762	-47.15523	1	1	0.45408	0.491925	0.381421	0.491393	0.441886	0.471979	0.661011	0.487934	0.568613	0.744617	0.481591	0.611961	0.527471	0.568706	0.63301	0.538634	0.468731	0.448404	0.393976	0.58547	0.666063	0.521234	0.514682	0.45815	0.502419	0.589285	0.615269	0.655458	0.597485	0.608128	0.416701	0.453317	0.5126431	0.01420383	0.0774489	-0.6681754	0.09165272	0.8450256	0.1636303
20	-11365.86	-11422.63	56.7704	0.165537	0.102262	0.0183288	0.0142878	0.00831724	0.00209619	0.00207441	0.026753	0.00579085	0.0116256	0.0147753	0.016393	0.0119899	0.00192633	0.0107659	0.0174146	0.00737275	0.00392462	0.0133513	0.0159775	0.0252642	0.0140625	0.018732	0.0020514	0.0121515	0.00501729	0.00645012	0.0138735	0.00724334	0.00371449	0.0255237	0.00139389	0.00575597	0.000652278	0.0166459	-0.3595901	0.3804751	-4.095592	0.02088499	18.21763	1.167259
40	-9540.025	-9625.4	85.37533	0.0302685	0.10553	0.00645	0.00203398	0.00167212	0.00311797	0.000334045	0.00353899	0.00349488	0.00957462	0.00941811	0.00278774	0.00553133	0.00166905	0.00504358	0.00191982	0.0051267	0.00334654	0.00592375	0.00120316	0.00746784	0.00300278	0.0431106	0.00850367	0.00646791	0.00390616	0.0043264	0.00903869	0.00177051	0.00264961	0.00859869	0.00368246	0.00103304	0.000116731	0.003294188	-0.4464282	0.5364335	-5.715596	0.09000522	5.960026	0.8716469
60	-9458.238	-9541.257	83.01866	0.0468784	0.0425706	0.0037786	0.00203867	0.00300048	0.00366635	0.000193981	0.00361055	0.00271762	0.00339523	0.00600154	0.00274995	0.00886607	0.0207987	0.00889459	0.00475807	0.00265662	0.00722984	0.00609927	0.000520606	0.00418552	0.00167013	0.0113743	0.00249254	0.0122425	0.00279336	0.00279972	0.0066058	0.00278452	0.00236155	0.0127751	0.00492474	0.00194886	0.00012544	0.003250853	-0.2880208	0.3724137	-5.728838	0.08439289	4.412856	1.143512
80	-9423.061	-9515.546	92.48483	0.0512383	0.0671663	0.00300142	0.00262135	0.00120047	0.00410217	0.000133684	0.00221956	0.00201405	0.00576116	0.00645198	0.00127561	0.000735658	0.00362875	0.00431686	0.000318066	0.00150619	0.00514658	0.00333781	0.00139566	0.0131221	0.00252932	0.00928294	0.00178887	0.00210671	0.00296705	0.00259084	0.00572828	0.00206767	0.00563545	0.00439757	0.00624878	0.00113226	0.000267296	0.002024075	-0.3104557	0.344902	-6.202643	0.03444624	10.01276	0.986721
100	-9416.209	-9499.169	82.96041	0.068958	0.0576881	0.00418272	0.00222155	0.00053254	0.00278299	0.000137518	0.00401837	0.00148867	0.00882795	0.00609522	0.00112609	0.00191189	0.0113377	0.00587692	0.00410896	0.00160616	0.0113194	0.00833198	0.00250137	0.0057968	0.00149371	0.0145498	0.00284504	0.00158516	0.00714077	0.00243441	0.00518035	0.00198752	0.00144301	0.00812685	0.0305326	0.000620705	0.000228763	0.003786627	-0.2291534	0.2423314	-5.57628	0.01317805	18.38902	1.086848
120	-9428.343	-9517.661	89.31783	0.0378607	0.10565	0.00593929	0.00222803	0.00143834	0.000595379	0.000135297	0.00246188	0.00173194	0.00121098	0.00446091	0.00216245	0.00175108	0.00147714	0.00547077	0.000948531	0.0034136	0.000732348	0.00457657	0.00187812	0.00786087	0.00235896	0.00962645	0.00300415	0.00839111	0.00689243	0.00508203	0.00560402	0.00212263	0.000616637	0.0339359	0.0111399	0.00105683	0.000270384	0.00242546	-0.1810435	0.2107853	-6.021734	0.02974174	7.087187	1.033134
140	-9410.864	-9509.358	98.49369	0.0408443	0.0466506	0.00110731	0.00143402	0.000634967	0.000714843	0.00012962	0.00176013	0.00106554	0.00167396	0.00458214	0.000623411	0.00102285	0.00299968	0.00171424	0.00186348	0.00137995	0.000793002	0.00722203	0.000740793	0.00798217	0.00157878	0.0126426	0.00141329	0.00169308	0.0151986	0.00107621	0.00355928	0.000993357	0.00276777	0.00243611	0.00280883	0.000423868	0.000222268	0.001181724	-0.1042101	0.1407321	-6.740781	0.036522	3.853352	0.9421024
160	-9401.359	-9507.478	106.1191	0.010674	0.0318967	0.00110821	0.00600713	0.000739143	0.00194679	0.00012807	0.00135989	0.00189731	0.00166351	0.00199688	0.000849034	0.00771807	0.00310962	0.00232978	0.00184375	0.00107548	0.00148227	0.00360592	0.000707028	0.00201779	0.000720975	0.0033352	0.00118533	0.00153942	0.00238561	0.000921322	0.00392827	0.000608997	0.000885567	0.00203672	0.00181756	0.00039619	0.000360947	0.001422241	-0.1802944	0.3018077	-6.555521	0.1215133	2.483742	0.8104515
180	-9397.246	-9502.295	105.0485	0.0161847	0.146858	0.001699	0.00476982	0.000160803	0.000583599	7.7538e-05	0.00125795	0.00282734	0.000795606	0.0021794	0.000307263	0.00105567	0.00180756	0.00184513	0.000584653	0.00129461	0.000901259	0.00165362	0.00116821	0.00248588	0.000845666	0.00341434	0.000318501	0.00105335	0.000913216	0.00158221	0.000551655	0.000509814	0.000240895	0.000369894	0.00488284	0.00178445	0.000649231	0.00131103	-0.06581141	0.1573392	-6.636942	0.09152783	1.719032	0.8973562
200	-9396.512	-9499.388	102.8764	0.0178595	0.0556909	0.00335045	0.00394691	0.000985613	0.000901759	0.000146681	0.00107197	0.000945557	0.00104781	0.00316409	0.000690171	0.0044035	0.00154393	0.00491046	0.00101096	0.000425329	0.0033258	0.0035335	0.000790115	0.00237209	0.00134649	0.00125828	0.000581584	0.00107932	0.00646795	0.00280927	0.00112734	0.00180648	0.000252892	0.00199035	0.00359185	0.000294805	0.000221286	0.002010578	-0.1237638	0.1404553	-6.209333	0.01669153	8.414766	1.055301
220	-9395.769	-9501.372	105.6028	0.00904192	0.0861923	0.00125421	0.00647192	0.0013885	0.000630443	0.000189698	0.001484	0.000917214	0.00105429	0.00301637	0.00103783	0.00339684	0.00142739	0.00119654	0.000547877	0.000252976	0.00281653	0.00471521	0.00114243	0.00198411	0.000909467	0.00254858	0.00059837	0.00188388	0.00505294	0.00114362	0.00156507	0.00192417	0.000491294	0.00179697	0.00333088	0.000890139	0.000153367	0.001078772	-0.1732372	0.2705306	-6.831931	0.0972934	2.780565	0.6892809
240	-9396.973	-9503.829	106.8562	0.0151155	0.0428461	0.00209179	0.00136345	0.000386494	0.00122935	0.000213037	0.00116296	0.00381809	0.00103165	0.00272399	0.00127517	0.00188223	0.00141744	0.00344045	0.000686529	0.00118528	0.00262231	0.00139756	0.00113845	0.00522294	0.00116784	0.00149307	0.00181245	0.00503666	0.00123173	0.00141331	0.0026338	0.000851024	0.00101823	0.0048577	0.0116146	0.000471452	0.000180325	0.001540264	-0.1488255	0.2648923	-6.475801	0.1160667	2.282241	0.8696976
260	-9394.025	-9502.269	108.2437	0.0193248	0.101102	0.00259212	0.00188865	0.00136569	0.000699269	0.000132477	0.00112825	0.000894069	0.0016663	0.00307111	0.00073779	0.00195519	0.00120101	0.00344285	0.000789031	0.000753616	0.00149822	0.00172086	0.000432395	0.0062827	0.000818919	0.00379165	0.00109735	0.00150148	0.00283274	0.00107744	0.00229231	0.000642843	0.00182819	0.00419713	0.00381293	0.000883529	0.000219024	0.001722874	-0.128219	0.2708621	-6.363762	0.1426431	1.89888	0.8067959
280	-9377.803	-9504.073	126.2701	0.0188374	0.070661	0.000767151	0.000817388	0.000496799	0.000857565	0.000166411	0.00096692	0.000807689	0.000437022	0.00174356	0.00036655	0.00050411	0.00131747	0.00132901	0.000441111	0.000652168	0.00279308	0.00158149	0.000254257	0.0026987	0.000333108	0.000902108	0.000465875	0.000564993	0.00159738	0.00104906	0.00151172	0.000735953	0.00155836	0.00142071	0.00214511	0.000371151	0.000468627	0.000916101	-0.07499423	0.1112704	-6.995384	0.03627617	3.067314	0.679972
300	-9385.691	-9510.432	124.7407	0.0124056	0.147247	0.000792534	0.000661493	0.00109629	0.000511728	0.000114178	0.000792819	0.000817307	0.00106677	0.00158622	0.00028794	0.000552294	0.00106486	0.0013072	0.000896511	0.00100286	0.00158266	0.00124194	0.000808503	0.00164762	0.000363415	0.00299803	0.000469975	0.000708839	0.00145057	0.00038191	0.000915092	0.000882993	0.000588913	0.000859116	0.0015731	0.000281119	0.000351346	0.0009399263	-0.1028221	0.1752764	-6.969709	0.0724543	2.419131	0.6448813
320	-9369.342	-9505.185	135.8423	0.00482159	0.0748449	0.000654329	0.00125798	0.000632062	0.000664325	0.000138761	0.00045347	0.000901317	0.000410866	0.000891754	0.000356355	0.000805854	0.00128392	0.00115806	0.000353962	0.000601773	0.000942223	0.0013378	0.000261838	0.00218491	0.000247885	0.000482319	0.000343432	0.000978628	0.000883182	0.000913548	0.000512136	0.000514615	0.000765898	0.000481422	0.0011742	0.000260843	0.000552575	0.0006594673	-0.04541897	0.08240087	-7.324078	0.0369819	2.22814	0.5579462
340	-9369.297	-9505.054	135.7569	0.00427011	0.127112	0.000813174	0.00181511	0.000205876	0.000252126	0.000134979	0.000763295	0.00046332	0.000603394	0.00105374	0.000403983	0.000505658	0.000892866	0.000826077	0.000444075	0.000723701	0.000674808	0.00113144	0.000231682	0.0010522	0.000335763	0.000876248	0.000435406	0.000743978	0.0011817	0.000557581	0.00120926	0.000305841	0.000266316	0.00146901	0.0014593	0.000283432	0.000328141	0.0006784359	-0.06999306	0.1461579	-7.295721	0.07616483	1.918968	0.6769912
360	-9373.54	-9504.111	130.5711	0.00514717	0.024107	0.000917241	0.00109391	0.000403811	0.0006909	0.000140769	0.000587782	0.000604628	0.000598404	0.000717385	0.000428857	0.000522174	0.000814096	0.00185737	0.000582484	0.000959846	0.00121763	0.000929906	0.000111389	0.00193293	0.000347977	0.000919471	0.000530544	0.00117726	0.00104098	0.00044742	0.00108501	0.000322056	0.00107942	0.00126019	0.00100173	0.000199933	0.000368824	0.0007715558	-0.05339315	0.09704736	-7.167102	0.04365421	2.223093	0.5111089
380	-9365.331	-9503.22	137.8883	0.00134513	0.0702972	0.000698452	0.00114732	0.000266952	0.000535517	0.000183427	0.000535298	0.000433014	0.000779045	0.000712425	0.000316983	0.000388809	0.000685624	0.00116187	0.00030789	0.000466507	0.00111164	0.000758474	0.000633337	0.00136096	0.000353549	0.00119311	0.000468169	0.00097157	0.000647644	0.00070635	0.000863531	0.000654199	0.000649004	0.000926447	0.00130851	0.000506686	0.000567915	0.0008619777	-0.04286509	0.07675401	-7.056281	0.03388892	2.264871	0.5171806
400	-9367.99	-9500.528	132.5386	0.000705175	0.136518	0.000751059	0.00122445	0.000326177	0.000501338	0.000119281	0.000832804	0.00085522	0.000500989	0.00120004	0.000348577	0.000444518	0.000865664	0.000833379	0.000641948	0.000398628	0.000692522	0.00166519	0.000493037	0.00104735	0.000437174	0.00103436	0.000414774	0.000467658	0.00138715	0.000503235	0.00120826	0.000493615	0.000179356	0.00218482	0.00170985	0.000438521	0.000680646	0.0007882391	-0.04532761	0.09184683	-7.145709	0.04651923	1.974384	0.6314635
420	-9374.114	-9505.683	131.5687	0.000421764	0.0955381	0.00033475	0.000681017	0.00087946	0.000497933	0.000147038	0.000514069	0.000269146	0.000295436	0.000691898	0.000299068	0.000357284	0.00162608	0.000507815	0.00141485	0.000162242	0.000986187	0.00111302	0.000721584	0.00109256	0.000206805	0.000565671	0.000256113	0.000783055	0.000699865	0.000624031	0.00156077	0.000237198	0.000301787	0.000621747	0.00115726	0.000232945	0.00159817	0.0004651243	-0.04187156	0.08147517	-7.673206	0.03960361	2.057266	0.6418466
440	-9354.91	-9503.625	148.7143	0.00140155	0.109678	0.000611648	0.000818447	0.000474288	0.000500897	0.000191717	0.000365123	0.000503791	0.000438732	0.000773654	0.000363057	0.000396069	0.000457532	0.000905669	0.000355021	0.000243522	0.000445466	0.000770006	0.00055704	0.00130912	0.000277044	0.000540464	0.000292167	0.00116692	0.00078856	0.000506855	0.000630721	0.000949954	0.000252143	0.0010235	0.000741575	0.000413491	0.000348783	0.000523125	-0.03747226	0.05245442	-7.55569	0.01498216	3.501126	0.3686467
460	-9362.943	-9503.207	140.2632	0.00272794	0.120101	0.000456221	0.000734299	0.000319869	0.000364029	0.000175346	0.000546543	0.00048611	0.000477292	0.000747287	0.000282693	0.0007714	0.000344121	0.000821991	0.000354102	0.00021438	0.000380711	0.00105542	0.000374344	0.000835876	0.000322978	0.000758481	0.000221854	0.00193116	0.000720044	0.000486496	0.000427156	0.000648044	0.000315162	0.000904304	0.00131826	0.000244315	0.000350282	0.0006234248	-0.03642233	0.04850029	-7.380282	0.01207796	4.015602	0.6842742
480	-9370.777	-9510.404	139.6265	0.00071677	0.116139	0.000387704	0.00105611	0.000222523	0.000463149	0.000182579	0.000351326	0.000980209	0.000498834	0.000692089	0.000252216	0.000419715	0.000427167	0.000442516	0.000315038	0.000314163	0.000397907	0.00119456	0.00049906	0.000872739	0.000190738	0.000730988	0.000259304	0.000801383	0.00101669	0.000303632	0.000948564	0.000224857	0.000327506	0.000961331	0.000606538	0.00015128	0.00118984	0.0004216799	-0.07458139	0.07893907	-7.771264	0.00435768	18.11493	0.5494003
500	-9367.438	-9501.072	133.6345	0.000458086	0.066999	0.000588937	0.000999906	0.000459065	0.00042193	0.000254862	0.000553445	0.00131089	0.000541005	0.00076959	0.000336391	0.00106047	0.000707597	0.000816677	0.000549057	0.000160542	0.000467736	0.00203061	0.000723661	0.0011876	0.000246529	0.000801156	0.000304814	0.000938953	0.00185436	0.000777791	0.000528489	0.000909235	0.000685447	0.000743805	0.000775396	0.000562953	0.000623363	0.0006757917	-0.06126563	0.07197221	-7.299626	0.01070659	6.722237	0.6881681
520	-9366.88	-9500.852	133.9722	0.00232857	0.105879	0.000891584	0.000918636	0.000213139	0.000647112	0.000281292	0.00090499	0.000887538	0.000913617	0.00100442	0.000294701	0.000478948	0.000835549	0.00166862	0.000582878	0.000134834	0.0013761	0.00130603	0.000241073	0.00139585	0.000485611	0.000984279	0.000326289	0.000406753	0.000712349	0.000961315	0.000612098	0.000810247	0.00098745	0.000934881	0.00216849	0.000415834	0.000285106	0.0007061826	-0.05368069	0.06826236	-7.255637	0.01458167	4.681382	0.5849036
540	-9381.704	-9508.666	126.9622	0.000349964	0.107914	0.000887891	0.00145426	0.0010527	0.00038859	0.000160482	0.000701818	0.00148965	0.000568505	0.000883773	0.000712408	0.000727434	0.000739554	0.00156715	0.000247527	0.000210355	0.00138318	0.000917179	0.000222673	0.00101374	0.000383049	0.00130719	0.000688939	0.00146057	0.00108596	0.00122919	0.00165139	0.000723371	0.00148422	0.00237342	0.00269014	0.000445282	0.000115697	0.0007817461	-0.07064289	0.07779635	-7.153981	0.007153459	10.87535	0.8364213
560	-9391.519	-9505.052	113.5329	0.000165791	0.0884542	0.00147873	0.00117984	0.000699121	0.000346981	0.000193506	0.000529605	0.00197057	0.00133676	0.0032588	0.000484766	0.00100769	0.00355377	0.00276095	0.00156303	0.00112956	0.000881133	0.00208056	0.00112103	0.00110649	0.000627022	0.00557169	0.000843764	0.00100138	0.00126965	0.000667725	0.00268359	0.000355079	0.000234396	0.00327583	0.00192498	0.000790625	0.000150962	0.001167605	-0.1445369	0.1484834	-6.7528	0.003946462	37.62443	0.7416691
580	-9395.048	-9504.983	109.9354	9.45561e-05	0.0585548	0.00217126	0.00209761	0.00075986	0.00182652	0.000295653	0.00164781	0.000818853	0.00132164	0.0013179	0.000697985	0.000996851	0.00211435	0.00295928	0.00140801	0.000331396	0.00191306	0.00287182	0.000425219	0.00137229	0.000374387	0.00211317	0.000831591	0.00135377	0.00483143	0.000991816	0.00196644	0.000492354	0.00160207	0.00237074	0.00378434	0.000451141	0.000106673	0.001463622	-0.09048995	0.1126477	-6.526841	0.02215772	5.083901	1.029177
600	-9378.918	-9509.75	130.8327	0.000223634	0.0233844	0.000501729	0.000399422	0.000328444	0.000591838	0.000291213	0.000547357	0.00143161	0.000802352	0.00132412	0.000360466	0.0003018	0.000942742	0.000881014	0.00129849	0.000416442	0.00103156	0.0012282	0.000668265	0.00180884	0.000356704	0.0014147	0.000814759	0.000838985	0.00129175	0.00120661	0.00148516	0.000660269	0.000868124	0.00112717	0.00227106	0.000315955	0.000143228	0.0007339245	-0.07409103	0.1208032	-7.217104	0.04671213	2.58612	0.5540397
620	-9370.316	-9499.02	128.7031	0.000139655	0.0534597	0.000339119	0.00141726	0.000249816	0.000486137	0.000182891	0.000851259	0.00151073	0.000598478	0.00180956	0.000403367	0.000668813	0.000483319	0.000984549	0.000267353	0.000139897	0.00101756	0.00160183	0.00150711	0.00154839	0.000396775	0.00136869	0.00040639	0.000612029	0.0014753	0.000957301	0.00119579	0.000591169	0.000119891	0.00108601	0.00206694	0.000376847	0.000360638	0.0007415566	-0.08502031	0.08806203	-7.206759	0.003041716	28.95143	0.67196
640	-9366.857	-9498.415	131.5574	0.000293566	0.0643316	0.000515447	0.000820777	0.000438083	0.000570263	0.000102396	0.0007903	0.00110772	0.000751043	0.000992509	0.000377439	0.000488206	0.000540385	0.00096401	0.000363655	0.000156862	0.0010025	0.0015752	0.000358317	0.00154094	0.000409967	0.00145025	0.000385977	0.00078515	0.00174979	0.000541053	0.00206134	0.000606032	0.000530172	0.00111495	0.00113084	8.26538e-05	0.000530235	0.0005709469	-0.0511684	0.05751256	-7.468214	0.006344161	9.065431	0.7282643
660	-9373.973	-9503.074	129.101	0.000503818	0.0784935	0.000477221	0.00156914	0.000506283	0.000315827	0.000159356	0.000974585	0.0011707	0.000641194	0.00134699	0.000401208	0.000592899	0.000516876	0.000841595	0.000834368	0.000357501	0.000531164	0.000896629	0.000300489	0.00139527	0.000354443	0.00236749	0.000451636	0.000519824	0.000941537	0.000456987	0.00120746	0.00125658	0.00174496	0.00170282	0.00352313	0.000312753	0.000505579	0.0006973517	-0.05085771	0.0674519	-7.268221	0.01659419	4.06479	0.6484767
680	-9361.502	-9503.491	141.9892	0.00083953	0.0469545	0.000561364	0.000957249	0.000422218	0.000378317	0.000167577	0.000717823	0.000589905	0.00047202	0.000957637	0.000374456	0.000796177	0.000604741	0.00111817	0.000486764	0.000270641	0.000596241	0.0016623	0.000758313	0.0012796	0.000209604	0.000609758	0.000316472	0.000982768	0.000904803	0.000922977	0.00118975	0.000558621	0.000422233	0.00110618	0.000876997	0.000557282	0.000392891	0.0006576487	-0.0553176	0.07493331	-7.32684	0.01961571	3.820066	0.5215377
700	-9359.089	-9512.113	153.0238	0.000778126	0.115275	0.000529489	0.000693488	0.000789094	0.000536518	0.000345671	0.000439917	0.000311713	0.000537924	0.000549468	0.000264776	0.000361433	0.00051423	0.000695725	0.000647922	0.00016284	0.000675799	0.000822028	0.000530477	0.00110239	0.000330972	0.000921608	0.000269771	0.000474482	0.000389833	0.000363289	0.00059056	0.000310097	0.000293461	0.000652796	0.000627666	0.000230526	0.000276988	0.0004682893	-0.01563053	0.07922116	-7.666424	0.06359064	1.245799	0.4452201
720	-9370.876	-9513.494	142.6176	0.000589969	0.0250418	0.000557424	0.000834154	0.000183279	9.26332e-05	0.00033784	0.000333682	0.000505902	0.000251036	0.00051642	0.000346502	0.00041115	0.000614385	0.000777916	0.000322895	0.000120454	0.000570774	0.000958287	0.000219898	0.00109731	0.000205608	0.000425615	0.000396912	0.000420978	0.00119471	0.000273843	0.00085448	0.000117765	0.000417282	0.000574779	0.000577159	0.000297041	0.000402168	0.0004133856	-0.01433832	0.1256409	-7.79113	0.1113025	1.128823	0.6504103
740	-9356.661	-9506.491	149.8297	0.000939121	0.0157892	0.000259797	0.000588748	0.00041273	0.000128482	0.000428147	0.000504131	0.000345567	0.000218655	0.000406444	0.000283711	0.00022565	0.000255811	0.000594367	0.00026069	8.96548e-05	0.000639708	0.000952972	0.00027861	0.000481264	0.000108249	0.000398633	0.000194255	0.000322236	0.000648937	0.000753564	0.000451681	0.000362532	0.000567663	0.000571845	0.000534698	0.000306083	0.000524452	0.0003559717	-0.02608683	0.08840607	-7.940659	0.06231923	1.4186	0.4471265
