Iteration	Posterior	Likelihood	Prior	alpha_cytb[1]	alpha_cytb[2]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates_mean	diversification	extinction_rate	ln_branch_rates_mean	speciation_rate	turnover	variance_mean
200	-9360.553	-9508.419	147.8666	0.07394	0.0821392	0.000317506	0.000445006	0.000558397	0.000337073	0.00031981	0.000345752	0.000257416	0.00039448	0.000466579	0.000304138	0.000207245	0.000159043	0.000561871	0.000764289	0.000426163	0.000450075	0.000199985	0.000243886	0.00058149	0.000452035	0.000106562	0.000148344	0.000405364	0.000594019	0.000638737	0.000419232	0.00025551	0.000472526	0.000458803	0.00123841	0.000111235	0.000343361	0.0003873571	-0.003634675	0.1542711	-7.856164	0.1506365	1.024129	0.5079737
220	-9356.699	-9513.408	156.7091	0.0842617	0.0335259	0.000382508	0.000402508	0.000446211	0.000234665	0.000269485	0.000609974	0.00039128	0.000256358	0.000727774	0.00047675	0.000343577	0.000388449	0.000492066	0.000712868	0.00035041	0.000441202	0.000265872	0.000559967	0.000545662	0.000395394	0.000231209	0.000219026	0.000299055	0.000435618	0.000726114	0.000303339	0.000248917	0.000638751	0.000330026	0.000180317	0.000136249	0.000285831	0.0003779134	-0.004539899	0.2061695	-7.880846	0.2016296	1.022516	0.340923
240	-9353.069	-9506.748	153.6788	0.0198127	0.0563528	0.000217214	0.000471267	0.000489253	0.000265236	0.000133694	0.0004496	0.00026835	0.000269971	0.000413986	0.000728348	0.000337986	0.000287613	0.000351358	0.000302243	0.000505822	0.000628608	0.000361871	0.000682916	0.000549707	0.000345869	0.000129776	0.000200976	0.000605494	0.000450969	0.000728067	0.000301173	0.000220761	0.000447219	0.000124354	0.000164259	0.000161567	0.000251797	0.0003379833	0.0197523	0.1281063	-7.992514	0.1478586	0.8664108	0.4902315
260	-9361.728	-9507.821	146.0927	0.0212263	0.0378192	0.000190866	0.00034455	0.00046117	0.000273629	0.000232533	0.000481359	0.000268734	0.000104607	0.000703063	0.0004387	0.00043419	0.000404536	0.000448438	0.000528219	0.000654222	0.00114768	0.000168407	0.000351462	0.000816057	0.000687619	0.000195564	0.000186972	0.000900285	0.000580464	0.00043058	0.000243153	0.000533104	0.000418195	0.000360961	0.000354191	0.000374328	0.00041423	0.0004271426	-0.01477735	0.2633176	-7.758393	0.2485402	1.059457	0.5399701
280	-9361.67	-9507.041	145.3717	0.0594093	0.0973477	0.000193988	0.000448759	0.000529466	0.000309976	0.000327891	0.000297021	0.000318004	0.000420411	0.000325093	0.000237969	0.000396953	0.000288474	0.000712708	0.000890397	0.00041132	0.000623841	0.000181256	0.000776467	0.000715773	0.000808891	0.000149297	0.000423591	0.000509213	0.00112623	0.000810461	0.000219015	0.00036428	0.000313014	0.000839615	0.000558652	0.000218255	0.00043389	0.0004358117	0.02659751	0.2313834	-7.7383	0.2579809	0.8969013	0.5059996
300	-9344.73	-9513.306	168.576	0.025847	0.0926205	0.000372056	0.000418794	0.00047718	0.000300915	0.000336077	0.000269589	0.000293743	0.000260552	0.000368302	0.000320867	0.000477507	0.000366649	0.000575091	0.000495544	0.000556916	0.000513404	0.000254713	0.000426721	0.000430796	0.000417027	0.000317433	0.000185267	0.000694669	0.000439959	0.000379713	0.000288687	0.000233597	0.000423816	0.000275366	0.000225333	0.000227665	0.000425229	0.0003939606	-0.02047435	0.1365219	-7.83926	0.1160476	1.176431	0.343836
320	-9348.201	-9501.734	153.5328	0.0284784	0.113331	0.000321574	0.000291048	0.000339711	0.000363523	0.000167316	0.000309812	0.000324091	0.000233303	0.000814594	0.00035156	0.000487352	0.000226167	0.000834318	0.000204285	0.000511742	0.000494048	0.000398871	0.000515121	0.000415197	0.000612353	0.000112057	0.000311148	0.000685142	0.00043331	0.000480217	0.000177948	0.000178239	0.000733509	0.000272076	0.000387532	0.000172501	0.000600891	0.0004002364	-0.02173435	0.06276726	-7.823455	0.04103291	1.529681	0.5196923
340	-9353.733	-9507.604	153.8706	0.0613978	0.0735863	0.000321769	0.000460666	0.000493949	0.000493224	0.000270026	0.000696599	0.000640951	0.000484454	0.000928051	0.000549987	0.000626211	0.000532549	0.00102119	0.00057182	0.000460452	0.000730599	0.000361978	0.000340579	0.000633219	0.000538344	0.000169176	0.00054338	0.000433659	0.000548204	0.00101402	0.000245193	0.000372321	0.000413413	0.000421743	0.000452395	0.000278904	0.000412591	0.0004317213	-0.03048848	0.04447002	-7.74773	0.01398154	3.180624	0.3126385
360	-9357.106	-9509.819	152.7131	0.0458543	0.0596228	0.000344859	0.000270009	0.00037513	0.000294132	0.00015708	0.000512433	0.000267741	0.00067311	0.000648686	0.000307363	0.000773375	0.000574364	0.00091505	0.000365294	0.000449811	0.000316857	0.000269067	0.000364413	0.000608088	0.00118621	0.000158074	0.00027929	0.000629138	0.000410694	0.000555175	0.000398382	0.000171616	0.000448377	0.000339489	0.000296752	0.000209455	0.000547119	0.0004015641	-0.02351082	0.07444208	-7.820143	0.05093125	1.461619	0.5050414
380	-9351.855	-9502.605	150.7498	0.0303405	0.0993972	0.000358436	0.000330897	0.000355278	0.000437237	0.000212899	0.000427894	0.0002637	0.000746988	0.000459411	0.000584027	0.000708858	0.00056628	0.000911458	0.000788418	0.000494813	0.000357492	0.000508765	0.000732559	0.00107292	0.000881344	0.000287632	0.000442853	0.000641832	0.000825633	0.000792965	0.000342898	0.000271813	0.00043803	0.000417342	0.000774248	0.000356212	0.000440672	0.0005623709	-0.01900038	0.0739018	-7.483349	0.05490142	1.346082	0.3814357
400	-9348.266	-9503.112	154.846	0.0242699	0.0410798	0.000252903	0.000447998	0.000503173	0.000343939	0.000356291	0.000203298	0.00018974	0.00018377	0.000325321	0.00069716	0.000658673	0.000511317	0.000773714	0.000275139	0.00095183	0.000242248	0.000234254	0.000309197	0.00043089	0.000781325	0.00046416	0.000208063	0.000494849	0.000641984	0.000619176	0.000221154	0.000227715	0.000308543	0.000376345	0.000172374	0.000233704	0.000740173	0.0003595424	-0.02056536	0.09770982	-7.930678	0.07714446	1.266583	0.4514615
420	-9361.411	-9509.444	148.0333	0.0195994	0.0519422	0.000258903	0.000277512	0.000242515	0.000476234	0.00032092	0.000366104	0.000340273	0.000148153	0.0004391	0.000452457	0.00088836	0.000586506	0.00121482	0.000737013	0.000592037	0.000299197	0.000235264	0.000387182	0.000770117	0.00107505	0.000263296	0.000388628	0.000350635	0.000637315	0.000664984	0.000167303	0.0002457	0.000428585	0.000744136	0.000297523	0.0002226	0.000377973	0.0004002529	-0.04298303	0.1707607	-7.823414	0.1277777	1.336389	0.4856375
440	-9358.424	-9501.87	143.446	0.0138314	0.0187613	0.000516869	0.000391883	0.00040098	0.000380557	0.000183453	0.000312382	0.000359936	0.000139827	0.00093263	0.000520625	0.000832226	0.000322462	0.000689573	0.000497773	0.000586494	0.00054769	0.000437736	0.000658523	0.000498611	0.000848879	0.000262845	0.000622862	0.000794702	0.000641435	0.00180233	0.000415509	0.000209627	0.00016339	0.000515557	0.000356021	0.000231819	0.000415927	0.0004546122	0.0199492	0.1229879	-7.696066	0.1429371	0.8604337	0.4963501
460	-9355.59	-9501.101	145.5102	0.00688823	0.0110612	0.000259021	0.000959995	0.00122451	0.000650334	0.000112098	0.000319594	0.000429955	0.000344707	0.000652822	0.000468922	0.000977725	0.000609455	0.000944625	0.00038268	0.000831915	0.00106803	0.000315763	0.000760992	0.000512629	0.000677956	0.000344261	0.000329985	0.00123899	0.000636963	0.00099238	0.000371581	0.000300552	0.000166582	0.000501355	0.000245381	0.000314434	0.000361606	0.0005375931	-0.04525197	0.1324646	-7.528409	0.08721266	1.518869	0.5683668
480	-9359.184	-9503.571	144.3876	0.0194026	0.0185118	0.000466953	0.000781473	0.000817329	0.000517229	0.000197134	0.000484329	0.00055267	0.000246087	0.000521843	0.000825742	0.00104054	0.000872215	0.000789985	0.000337817	0.000820424	0.00073126	0.000337102	0.000546289	0.00134871	0.000611913	0.000261875	0.000227091	0.00129743	0.000752834	0.00116883	0.000450818	0.000612995	0.00018424	0.000886406	0.00037306	0.000452031	0.000248035	0.0005734264	-0.06699932	0.1163141	-7.463881	0.0493148	2.358605	0.6321251
500	-9373.818	-9506.884	133.0662	0.0505395	0.0519553	0.00037944	0.000328455	0.000329202	0.000389871	0.000262537	0.000232058	0.0013667	0.000170487	0.000686265	0.000374654	0.00112652	0.000964278	0.00196308	0.000251858	0.000406846	0.00190623	0.000203646	0.000363344	0.000920353	0.00122933	0.000274942	0.000540109	0.00065316	0.000956596	0.000625855	0.000262511	0.000962906	0.000477058	0.00100669	0.000202942	0.00029013	0.000324837	0.0005831812	-0.05078455	0.09628702	-7.447013	0.04550248	2.116083	0.5315204
520	-9353.086	-9505.211	152.1249	0.0788565	0.0481967	0.00061435	0.000349821	0.000348747	0.000330037	0.000254243	0.000269529	0.000721111	0.000295039	0.000978371	0.000468082	0.000509028	0.000439241	0.000659301	0.000408915	0.000973441	0.000696892	0.000405154	0.00045499	0.000393927	0.000703017	0.000431589	0.00066255	0.000630404	0.000583522	0.000845944	0.000276862	0.000259889	0.000425988	0.000378742	0.000213326	0.000250454	0.00035913	0.0003777921	-0.01729799	0.05643856	-7.881167	0.03914058	1.441945	0.5173521
540	-9359.635	-9510.043	150.4078	0.0280594	0.0629061	0.00062974	0.000315349	0.000381723	0.000318367	0.000180118	0.000142931	0.000818099	0.000819723	0.000543651	0.000516499	0.000461026	0.000281747	0.000640984	0.000459706	0.000767688	0.000692807	0.000354395	0.00052168	0.000437165	0.000476515	0.00024593	0.000194894	0.000799786	0.000588994	0.000581834	0.000335635	0.000607432	0.000363795	0.0004042	0.000165064	0.00012586	0.000447127	0.0004355191	-0.02137008	0.05255479	-7.738972	0.03118471	1.685274	0.4592455
560	-9349.73	-9504.39	154.6604	0.0492562	0.0491099	0.000547396	0.00041846	0.000468691	0.000351582	0.000407592	0.000349129	0.000415832	9.7523e-05	0.000419583	0.000190643	0.000571922	0.000383643	0.000707073	0.000392624	0.000735958	0.000673675	0.000254617	0.00047883	0.000439008	0.000394588	0.000292382	0.000271328	0.000664805	0.000308029	0.00057178	0.000264545	0.00060746	0.000419011	0.000301034	0.000157362	0.000108379	0.000361366	0.0003948665	-0.02485572	0.05875554	-7.836963	0.03389982	1.733211	0.4449784
580	-9350.695	-9504.133	153.4378	0.0516977	0.0200589	0.000193809	0.000411333	0.000463105	0.000301093	0.000477569	0.00029034	0.000513574	0.000143415	0.00045346	0.000183626	0.000476713	0.000280519	0.000555944	0.000467847	0.000411251	0.000498849	0.000179871	0.000630086	0.000322759	0.000403843	0.000140759	0.000374861	0.000610188	0.000243008	0.000840475	0.000662177	0.000413143	0.000557199	0.000185942	0.000435914	0.000119055	0.000338562	0.0003992981	-0.02009757	0.05383798	-7.825802	0.0337404	1.595653	0.472628
600	-9355.497	-9510.824	155.3272	0.0683261	0.0068515	0.000393298	0.000309764	0.000366994	0.000206193	0.000349782	0.000437429	0.000292939	0.000253622	0.00138531	0.000367083	0.000404762	0.000415656	0.000618652	0.000319159	0.000400578	0.000293473	0.000296378	0.000278309	0.000373738	0.000603983	0.000169589	0.000436594	0.000730496	0.000694494	0.000435888	0.000198037	0.00014928	0.000703939	0.000516624	0.000303472	0.00019125	0.000385193	0.0003618567	-0.005715421	0.02472707	-7.924262	0.01901165	1.300627	0.4422842
620	-9350.256	-9506.196	155.9402	0.0567766	0.00423356	0.00028828	0.000519558	0.00057185	0.000242012	0.000280626	0.000365901	0.000148311	0.000206146	0.000551937	0.000386452	0.000257325	0.000260782	0.000335982	0.000501351	0.000426591	0.000600711	0.000285033	0.000381051	0.000476728	0.000244266	0.000132077	0.000127842	0.000541412	0.000427827	0.00123254	0.000255573	0.000195276	0.000488549	0.000254841	0.000308261	0.00010796	0.000212317	0.0003091142	-0.009761589	0.04747555	-8.0818	0.03771396	1.258832	0.4210688
640	-9358.642	-9506.915	148.2723	0.0512592	0.00691468	0.000188861	0.000510452	0.000529129	0.000247373	0.000392631	0.000164105	0.000380447	0.000363509	0.000275972	0.000529787	0.00071032	0.00047357	0.000543807	0.00049735	0.000530186	0.000738434	0.000203955	0.00038624	0.000536322	0.00044427	0.000156973	0.00019423	0.000488008	0.000378856	0.000841102	0.000253102	0.00030973	0.000402427	0.000447922	0.000149808	0.000124942	0.00102028	0.0004200786	0.007621912	0.1226745	-7.775069	0.1302965	0.9415033	0.5293454
