SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree639	-11352.2	0	0	10	0.28	138.647	151.503	28.576
tree640	-11352.2	0	0	10	0.273	155.144	168.11	28.693
tree641	-11352.2	0	0	10	0.289	153.911	167.594	29.394
tree642	-11352.2	0	0	10	0.265	157.039	169.948	28.644
tree643	-11352.2	0	0	10	0.277	164.482	176.723	27.964
tree644	-11352.2	0	0	10	0.273	153.705	166.841	28.863
tree645	-11352.2	0	0	10	0.262	169.602	180.972	27.108
tree646	-11352.2	0	0	10	0.274	153.997	167.811	29.54
tree647	-11352.2	0	0	10	0.266	154.568	169.058	30.224
tree648	-11352.2	0	0	10	0.253	153.874	166.928	28.801
tree649	-11352.2	0	0	10	0.286	152.397	164.759	28.076
tree650	-11352.2	0	0	10	0.265	152.158	165.885	29.462
tree651	-11352.2	0	0	10	0.239	158.135	171.629	29.255
tree652	-11352.2	0	0	10	0.26	169.48	179.59	25.85
tree653	-11352.2	0	0	10	0.291	139.402	152.2	28.507
tree654	-11352.2	0	0	10	0.265	138.281	151.893	29.347
tree655	-11352.2	0	0	10	0.281	163.434	174.394	26.679
tree656	-11352.2	0	0	10	0.28	155.926	168.534	28.328
tree657	-11352.2	0	0	10	0.271	155.799	169.227	29.157
tree658	-11352.2	0	0	10	0.292	163.446	176.556	28.818
tree659	-11352.2	0	0	10	0.268	154.715	167.974	28.991
tree660	-11352.2	0	0	10	0.254	148.003	158.23	25.973
tree661	-11352.2	0	0	10	0.282	155.593	170.043	30.168
tree662	-11352.2	0	0	10	0.282	167.338	179.237	27.617
tree663	-11352.2	0	0	10	0.281	154.84	169.945	30.824
tree664	-11352.2	0	0	10	0.294	154.122	167.631	29.215
tree665	-11352.2	0	0	10	0.29	167.952	179.608	27.366
tree666	-11352.2	0	0	10	0.28	156.927	169.871	28.664
tree667	-11352.2	0	0	10	0.245	156.541	170.344	29.558
tree668	-11352.2	0	0	10	0.274	166.812	178.472	27.386
tree669	-11352.2	0	0	10	0.258	146.783	157.105	26.064
tree670	-11352.2	0	0	10	0.272	167.128	177.991	26.591
tree671	-11352.2	0	0	10	0.274	165.023	175.353	26.056
tree672	-11352.2	0	0	10	0.29	148.876	160.784	27.618
tree673	-11352.2	0	0	10	0.272	152.92	167.116	29.924
tree674	-11352.2	0	0	10	0.281	143.947	156.916	28.688
