SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree267	-45.3375	0.000180829	0.190931	0.189988	0	5.859	4.886	15.027
tree268	-43.5585	8.11329e-06	0.161581	0.163121	0	4.863	4.24	15.377
tree269	-45.9169	1e-06	0.244904	0.207728	0	7.519	4.515	12.996
tree270	-44.2669	1e-06	0.189517	0.180797	0	6.458	4.49	14.032
tree271	-44.462	1e-06	0.262207	0.149422	0	7.37	2.931	11.561
tree272	-43.3771	9.03608e-06	0.16892	0.155998	0	5.145	4.134	14.989
tree273	-42.3112	1e-06	0.149075	0.145093	0	4.571	3.964	15.393
tree274	-44.164	1e-06	0.215633	0.174332	0	6.698	3.984	13.286
tree275	-44.2669	1e-06	0.189517	0.180797	0	6.324	4.474	14.15
tree276	-45.2313	4.57916e-05	0.23906	0.135926	0	6.745	2.977	12.232
tree277	-44.2932	1e-06	0.185439	0.195274	0	6.386	5.364	14.978
tree278	-44.164	1e-06	0.215633	0.174332	0	6.824	3.952	13.128
tree279	-44.2669	1e-06	0.189517	0.180797	0	6.513	4.383	13.87
tree280	-46.447	2.46085e-05	0.263494	0.215621	0	7.982	4.19	12.208
tree281	-44.164	1e-06	0.215633	0.174332	0	6.674	3.992	13.318
tree282	-42.3122	0.000709042	0.193739	0.0989952	0.001	6.66	1.853	11.192
tree283	-45.3116	1e-06	0.220944	0.197655	0	7.073	4.52	13.447
tree284	-43.9031	0.000199331	0.19531	0.210258	0.001	6.832	5.092	14.259
tree285	-42.3112	1e-06	0.149075	0.145093	0	4.519	3.885	15.366
tree286	-45.3375	0.000180829	0.190931	0.189988	0	5.859	4.811	14.952
tree287	-46.5525	6.66536e-06	0.277807	0.211398	0	8.128	4.143	12.015
tree288	-44.164	1e-06	0.215633	0.174332	0	6.749	3.94	13.191
tree289	-42.3112	1e-06	0.149075	0.145093	0	4.549	3.881	15.332
tree290	-43.1682	0.000108321	0.222465	0.120336	0	6.308	2.738	12.43
tree291	-44.9086	1e-06	0.239814	0.193222	0	7.524	3.985	12.461
tree292	-45.3375	0.000180829	0.190931	0.189988	0	5.936	4.827	14.891
tree293	-45.3116	1e-06	0.220944	0.197655	0	7.117	4.613	13.496
tree294	-45.7825	1e-06	0.234196	0.192852	0	7.559	4.24	12.681
