SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree932	-44.1358	0	0.229289	0.147502	0	7.541	2.959	11.418
tree933	-46.1319	0	0.218633	0.204299	0	6.609	4.611	14.002
tree934	-45.346	0	0.250215	0.176685	0	7.39	3.756	12.366
tree935	-45.0154	0	0.216724	0.195202	0	7.092	4.46	13.368
tree936	-43.6973	0	0.202867	0.199516	0	7.842	4.808	12.966
tree937	-45.0351	0	0.204686	0.201772	0	6.916	5.012	14.096
tree938	-45.0351	0	0.204686	0.201772	0	6.936	5.038	14.102
tree939	-44.1639	0	0.215064	0.175447	0	6.672	4.017	13.345
tree940	-44.2646	0	0.195701	0.178185	0	6.423	4.357	13.934
tree941	-43.8892	0	0.205463	0.199675	0	7.854	4.724	12.87
tree942	-44.9085	0	0.239558	0.195271	0	7.455	4.046	12.591
tree943	-43.7804	0	0.246956	0.133827	0	6.866	2.859	11.993
tree944	-45.8643	0	0.221806	0.207578	0	7.426	4.618	13.192
tree945	-45.4268	0	0.218513	0.211321	0	7.158	4.864	13.706
tree946	-40.7151	0	0.166384	0.148901	0	5.614	3.977	14.363
tree947	-45.3304	0	0.189079	0.198656	0	5.785	4.879	15.094
tree948	-42.3111	0	0.147972	0.14542	0	4.55	3.926	15.376
tree949	-45.3115	0	0.219431	0.197195	0	7.196	4.598	13.402
tree950	-44.5044	0	0.275661	0.138414	0	7.468	2.824	11.356
tree951	-41.9671	0	0.179652	0.170699	0	6.54	3.881	13.341
tree952	-44.5408	0	0.240802	0.154218	0	7.365	3.157	11.792
tree953	-44.2646	0	0.195701	0.178185	0	6.49	4.415	13.925
tree954	-44.2646	0	0.195701	0.178185	0	6.424	4.366	13.942
tree955	-44.2646	0	0.195701	0.178185	0	6.484	4.304	13.82
tree956	-45.0154	0	0.216724	0.195202	0	7.151	4.463	13.312
tree957	-44.2646	0	0.195701	0.178185	0	6.416	4.326	13.91
tree958	-42.4215	0	0.155386	0.145581	0	4.725	4.014	15.289
tree959	-42.3111	0	0.147972	0.14542	0	4.482	3.856	15.374
tree960	-44.2646	0	0.195701	0.178185	0	6.435	4.334	13.899
tree961	-45.7821	0	0.236794	0.203217	0	7.583	4.388	12.805
tree962	-44.1639	0	0.215064	0.175447	0	6.768	4.037	13.269
tree963	-42.5906	0	0.15081	0.153436	0	4.586	4.195	15.609
tree964	-44.462	0	0.2609	0.150648	0	7.34	3.062	11.722
tree965	-44.2942	0	0.181631	0.1932	0	6.405	5.283	14.878
tree966	-45.0154	0	0.216724	0.195202	0	7.191	4.362	13.171
tree967	-42.5906	0	0.15081	0.153436	0	4.636	4.157	15.521
tree968	-44.1639	0	0.215064	0.175447	0	6.809	3.964	13.155
tree969	-44.6948	0	0.229359	0.196643	0	7.139	4.515	13.376
tree970	-44.1639	0	0.215064	0.175447	0	6.803	3.985	13.182
tree971	-45.9446	0	0.247154	0.205827	0	7.499	4.325	12.826
tree972	-45.3184	0	0.253476	0.163524	0	7.281	3.702	12.421
tree973	-45.7821	0	0.236794	0.203217	0	7.52	4.384	12.864
tree974	-42.1614	0	0.155552	0.151846	0	4.886	3.974	15.088
tree975	-45.3304	0	0.189079	0.198656	0	5.806	4.919	15.113
tree976	-40.7151	0	0.166384	0.148901	0	5.581	3.978	14.397
tree977	-45.3304	0	0.189079	0.198656	0	5.818	4.9	15.082
tree978	-43.1657	0	0.221852	0.119122	0	6.258	2.756	12.498
tree979	-44.2646	0	0.195701	0.178185	0	6.374	4.465	14.091
tree980	-45.0351	0	0.204686	0.201772	0	6.95	5.027	14.077
tree981	-45.3035	0	0.248363	0.17679	0	7.267	4.02	12.753
tree982	-42.134	0	0.155974	0.14042	0	4.693	3.688	14.995
tree983	-43.1657	0	0.221852	0.119122	0	6.258	2.725	12.467
tree984	-49.4053	0	0.248393	0.20448	0	7.226	4.502	13.276
tree985	-45.3304	0	0.189079	0.198656	0	5.811	5.007	15.196
tree986	-45.3115	0	0.219431	0.197195	0	7.147	4.559	13.412
tree987	-45.3304	0	0.189079	0.198656	0	5.87	4.924	15.054
tree988	-43.5863	0	0.23925	0.147016	0	6.771	3.143	12.372
tree989	-45.3115	0	0.219431	0.197195	0	7.123	4.597	13.474
tree990	-44.2646	0	0.195701	0.178185	0	6.412	4.422	14.01
tree991	-44.0724	0	0.252984	0.126284	0	7.086	2.582	11.496
tree992	-46.4465	0	0.263982	0.214895	0	8.077	4.156	12.079
tree993	-45.3115	0	0.219431	0.197195	0	7.081	4.602	13.521
tree994	-43.7804	0	0.246956	0.133827	0	6.931	2.879	11.948
tree995	-45.0154	0	0.216724	0.195202	0	7.255	4.514	13.259
tree996	-44.2646	0	0.195701	0.178185	0	6.558	4.466	13.908
tree997	-43.5256	0	0.210002	0.143236	0	6.047	3.437	13.39
tree998	-45.0154	0	0.216724	0.195202	0	7.173	4.458	13.285
tree999	-43.5863	0	0.23925	0.147016	0	6.757	3.114	12.357
