SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree96	-48.9738	1e-06	0.31	0	0	8.848	0	7.152
tree97	-48.9738	1e-06	0.31	0	0	8.787	0	7.213
tree98	-48.9738	1e-06	0.31	0	0	8.881	0	7.119
tree99	-47.985	1e-06	0.31	0	0	8.717	0	7.283
tree100	-48.9738	1e-06	0.31	0	0	8.831	0	7.169
tree101	-46.0424	1e-06	0.287319	0	0	7.393	0	8.607
tree102	-48.9738	1e-06	0.31	0	0	8.881	0	7.119
tree103	-47.91	1e-06	0.31	0	0	8.695	0	7.305
tree104	-48.7836	1e-06	0.31	0	0	8.715	0	7.285
tree105	-52.156	1e-06	0.51	0	0	9.991	0	6.009
tree106	-32.8805	1e-06	0.135	0	0	4.046	0	11.954
tree107	-48.9738	1e-06	0.31	0	0	8.913	0	7.087
tree108	-47.985	1e-06	0.31	0	0	8.739	0	7.261
tree109	-47.91	1e-06	0.31	0	0	8.693	0	7.307
tree110	-49.1492	1e-06	0.31	0	0	9.062	0	6.938
tree111	-48.9738	1e-06	0.31	0	0	8.865	0	7.135
tree112	-42.7907	1e-06	0.21	0	0	6.327	0	9.673
tree113	-47.985	1e-06	0.31	0	0	8.71	0	7.29
tree114	-48.9738	1e-06	0.31	0	0	8.883	0	7.117
tree115	-45.7282	1e-06	0.31	0	0	7.869	0	8.131
tree116	-43.4047	1e-06	0.280313	0	0	7.217	0	8.783
tree117	-48.0715	1e-06	0.31	0	0	8.758	0	7.242
tree118	-49.2257	1e-06	0.31	0	0	9.078	0	6.922
tree119	-46.0413	1e-06	0.31	0	0	8.171	0	7.829
tree120	-48.9738	1e-06	0.31	0	0	8.867	0	7.133
tree121	-45.7282	1e-06	0.31	0	0	7.848	0	8.152
tree122	-48.9738	1e-06	0.31	0	0	8.914	0	7.086
tree123	-46.0424	1e-06	0.287319	0	0	7.392	0	8.608
tree124	-48.3105	1e-06	0.31	0	0	9.127	0	6.873
tree125	-48.9738	1e-06	0.31	0	0	8.855	0	7.145
tree126	-48.9738	1e-06	0.31	0	0	8.872	0	7.128
tree127	-47.91	1e-06	0.31	0	0	8.662	0	7.338
tree128	-48.9738	1e-06	0.31	0	0	8.892	0	7.108
tree129	-47.91	1e-06	0.31	0	0	8.715	0	7.285
tree130	-46.7468	1e-06	0.31	0	0	8.209	0	7.791
tree131	-47.988	1e-06	0.31	0	0	8.83	0	7.17
tree132	-45.7854	1e-06	0.31	0	0	8.216	0	7.784
tree133	-48.7836	1e-06	0.31	0	0	8.77	0	7.23
tree134	-48.7836	1e-06	0.31	0	0	8.756	0	7.244
tree135	-46.7468	1e-06	0.31	0	0	8.227	0	7.773
tree136	-48.9738	1e-06	0.31	0	0	8.874	0	7.126
tree137	-48.7794	1e-06	0.31	0	0	8.964	0	7.036
tree138	-46.0413	1e-06	0.31	0	0	8.131	0	7.869
tree139	-42.6105	1e-06	0.21	0	0	6.321	0	9.679
tree140	-47.985	1e-06	0.31	0	0	8.728	0	7.272
tree141	-48.3105	1e-06	0.31	0	0	9.14	0	6.86
tree142	-46.7245	1e-06	0.31	0	0	8.252	0	7.748
tree143	-48.9738	1e-06	0.31	0	0	8.859	0	7.141
tree144	-48.7836	1e-06	0.31	0	0	8.748	0	7.252
tree145	-48.9738	1e-06	0.31	0	0	8.888	0	7.112
tree146	-48.9738	1e-06	0.31	0	0	8.877	0	7.123
tree147	-44.7214	1e-06	0.31	0	0	7.767	0	8.233
tree148	-48.7836	1e-06	0.31	0	0	8.778	0	7.222
tree149	-48.9738	1e-06	0.31	0	0	8.847	0	7.153
tree150	-46.7468	1e-06	0.31	0	0	8.239	0	7.761
tree151	-47.3709	1e-06	0.31	0	0	9.074	0	6.926
tree152	-46.0424	1e-06	0.287319	0	0	7.391	0	8.609
