SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree772	-11354.9	0.01	0	0	0.264	436.119	432.762	12.379
tree773	-11355	0.01	0	0	0.318	428.497	424.676	11.861
tree774	-11355	0.01	0	0	0.288	419.192	415.111	11.631
tree775	-11354.9	0.01	0	0	0.267	435.429	432.133	12.437
tree776	-11354.9	0.01	0	0	0.295	446.073	443.209	12.841
tree777	-11355	0.01	0	0	0.296	425.769	422.185	12.12
tree778	-11354.9	0.01	0	0	0.307	452.54	449.662	12.815
tree779	-11354.9	0.01	0	0	0.283	434.908	431.54	12.349
tree780	-11354.9	0.01	0	0	0.336	431.646	428.146	12.164
tree781	-11355	0.01	0	0	0.281	425.475	421.491	11.735
tree782	-11354.9	0.01	0	0	0.299	438.134	435.092	12.659
tree783	-11354.9	0.01	0	0	0.29	432.757	429.288	12.241
tree784	-11355	0.01	0	0	0.281	433.605	429.999	12.113
tree785	-11354.9	0.01	0	0	0.301	423.267	419.429	11.861
tree786	-11354.9	0.01	0	0	0.254	452.478	449.727	12.995
tree787	-11354.9	0.01	0	0	0.284	433.709	430.139	12.146
tree788	-11354.9	0.01	0	0	0.316	431.194	427.651	12.141
tree789	-11354.9	0.01	0	0	0.249	437.536	434.123	12.338
tree790	-11354.9	0.01	0	0	0.303	426.16	422.277	11.814
tree791	-11354.9	0.01	0	0	0.271	431.193	427.571	12.107
tree792	-11355	0.01	0	0	0.307	416.955	412.866	11.604
tree793	-11355	0.01	0	0	0.275	433.942	430.455	12.238
tree794	-11354.9	0.01	0	0	0.269	440.514	437.092	12.309
tree795	-11354.9	0.01	0	0	0.284	432.878	429.566	12.404
tree796	-11354.9	0.01	0	0	0.281	447.487	444.596	12.828
tree797	-11355	0.01	0	0	0.274	436.139	432.815	12.402
tree798	-11354.9	0.01	0	0	0.3	425.49	421.711	11.921
tree799	-11354.9	0.01	0	0	0.289	444.468	441.298	12.541
tree800	-11354.9	0.01	0	0	0.296	425.952	422.224	11.976
tree801	-11354.9	0.01	0	0	0.282	422.942	418.996	11.772
tree802	-11354.9	0.01	0	0	0.271	440.155	436.991	12.565
tree803	-11354.9	0.01	0	0	0.257	432.17	428.545	12.118
tree804	-11355	0.01	0	0	0.273	417.797	413.941	11.871
tree805	-11355	0.01	0	0	0.278	424.958	421.181	11.945
tree806	-11354.9	0.01	0	0	0.265	447.957	445.043	12.821
tree807	-11354.9	0.01	0	0	0.267	429.936	426.182	11.979
tree808	-11355	0.01	0	0	0.293	419.696	415.861	11.872
tree809	-11354.9	0.01	0	0	0.307	427.88	424.349	12.162
tree810	-11355	0.01	0	0	0.309	419.62	415.585	11.656
tree811	-11354.9	0.01	0	0	0.274	431.715	428.131	12.142
tree812	-11354.9	0.01	0	0	0.296	432.541	428.943	12.106
tree813	-11354.9	0.01	0	0	0.307	423.387	419.523	11.829
tree814	-11354.9	0.01	0	0	0.266	447.796	444.924	12.862
tree815	-11354.9	0.01	0	0	0.294	431.599	428.075	12.182
tree816	-11355	0.01	0	0	0.282	424.8	420.856	11.774
tree817	-11354.9	0.01	0	0	0.275	429.098	425.458	12.085
tree818	-11355	0.01	0	0	0.274	427.231	423.498	11.993
tree819	-11355	0.01	0	0	0.298	418.798	414.807	11.711
tree820	-11354.9	0.01	0	0	0.3	432.808	429.107	11.999
tree821	-11354.9	0.01	0	0	0.283	446.177	443.019	12.559
