SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree136	-11354.9	0	0	0	0.291	428.109	424.467	12.067
tree137	-11354.9	0	0	0	0.28	434.796	431.421	12.345
tree138	-11354.9	0	0	0	0.273	453.036	450.335	13.026
tree139	-11354.9	0	0	0	0.23	449.943	447.006	12.833
tree140	-11354.9	0	0	0	0.298	426.338	422.552	11.916
tree141	-11354.9	0	0	0	0.294	425.89	422.113	11.929
tree142	-11354.9	0	0	0	0.287	426.76	422.894	11.847
tree143	-11354.9	0	0	0	0.297	428.05	424.397	12.05
tree144	-11354.9	0	0	0	0.296	442.186	439.038	12.556
tree145	-11354.9	0	0	0	0.283	438.1	434.667	12.284
tree146	-11354.9	0	0	0	0.303	433.418	429.934	12.213
tree147	-11354.9	0	0	0	0.297	441.534	438.302	12.471
tree148	-11354.9	0	0	0	0.284	428.62	424.977	12.073
tree149	-11354.9	0	0	0	0.283	429.728	426.13	12.119
tree150	-11354.9	0	0	0	0.264	421.539	417.594	11.791
tree151	-11354.9	0	0	0	0.299	423.709	419.755	11.747
tree152	-11354.9	0	0	0	0.274	431.464	427.955	12.217
tree153	-11354.9	0	0	0	0.283	435.548	432.088	12.257
tree154	-11354.9	0	0	0	0.294	435.344	431.759	12.121
tree155	-11354.9	0	0	0	0.304	430.544	427.187	12.339
tree156	-11354.9	0	0	0	0.281	436.822	433.675	12.572
tree157	-11354.9	0	0	0	0.271	431.502	427.728	11.955
tree158	-11354.9	0	0	0	0.278	449.584	446.869	13.007
tree159	-11354.9	0	0	0	0.314	425.212	421.516	11.99
tree160	-11354.9	0	0	0	0.288	437.462	433.876	12.126
tree161	-11354.9	0	0	0	0.29	450.84	447.904	12.774
tree162	-11354.9	0	0	0	0.276	437.81	434.393	12.307
tree163	-11354.9	0	0	0	0.309	442.23	439.29	12.751
tree164	-11354.9	0	0	0	0.29	432.026	428.567	12.251
tree165	-11354.9	0	0	0	0.283	427.276	423.468	11.909
tree166	-11354.9	0	0	0	0.251	446.494	443.394	12.649
tree167	-11354.9	0	0	0	0.277	424.719	420.967	11.971
tree168	-11354.9	0	0	0	0.307	417.55	413.667	11.81
tree169	-11354.9	0	0	0	0.286	429.117	425.519	12.116
tree170	-11354.9	0	0	0	0.285	423.501	419.581	11.795
tree171	-11354.9	0	0	0	0.303	430.594	426.879	11.982
