Iteration	Posterior	Likelihood	Prior	alpha_cytb[1]	alpha_cytb[2]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates_mean	diversification	extant_mrca	extinction_rate	ln_branch_rates_mean	speciation_rate	turnover	variance_mean
0	-17629.35	-17641.46	12.11255	1	1	0.448798	0.448089	0.419855	0.432002	0.435585	0.398887	0.389472	0.405674	0.43073	0.45112	0.424757	0.422436	0.417538	0.363678	0.401747	0.453779	0.409133	0.418271	0.417723	0.437524	0.437096	0.42617	0.434613	0.400132	0.377627	0.422735	0.417841	0.442378	0.401428	0.413264	0.383381	0.410718	0.4193442	-0.08126588	90.97128	0.1273882	-0.8690631	0.04612228	2.761966	0.05562572
20	-5318.733	-5349.682	30.94905	0.249667	0.195684	0.041231	0.0213681	0.0393541	0.0502615	0.0285355	0.0228091	0.0363335	0.0286094	0.0468312	0.0362738	0.0366716	0.0389916	0.0239063	0.0666932	0.0447661	0.0444277	0.0148739	0.0303568	0.0695773	0.0838167	0.0445359	0.0216189	0.0209498	0.0457793	0.0231114	0.0313205	0.0280804	0.0418419	0.0563327	0.0370444	0.0328582	0.00671325	0.03328171	-0.1834997	66.47439	0.2003886	-3.402747	0.01688893	11.86509	0.4914762
40	-5021.927	-5054.6	32.67296	0.262484	0.212925	0.0226538	0.00937058	0.0134014	0.022912	0.0112976	0.0126769	0.0149657	0.0137831	0.0258774	0.0208903	0.0329294	0.0457032	0.00978359	0.0418648	0.0232965	0.0129724	0.0049188	0.0410429	0.0111501	0.0165919	0.00517998	0.0393767	0.00892942	0.0104947	0.0198612	0.0493729	0.00488836	0.00615209	0.0155355	0.00218651	0.024672	0.0016425	0.01596074	-0.1552135	67.65678	0.1871694	-4.137623	0.03195598	5.857102	0.766174
60	-4914.81	-4959.583	44.7732	0.276581	0.249121	0.0110646	0.0109295	0.00819964	0.00844916	0.0155866	0.0199109	0.0200309	0.0119216	0.0198848	0.022553	0.0166655	0.015828	0.0207847	0.0050254	0.0268192	0.00782652	0.0152014	0.0198852	0.00485761	0.0174578	0.0179509	0.0300758	0.00481739	0.00569195	0.0282428	0.0203749	0.0167733	0.00359347	0.0106623	0.00693654	0.00450986	0.0116583	0.01365706	-0.08574678	70.46163	0.1404153	-4.293499	0.05466852	2.568486	0.5270325
80	-4858.165	-4912.042	53.87718	0.273544	0.202114	0.0115139	0.00451041	0.00673527	0.00665107	0.006139	0.00773368	0.0127156	0.0127709	0.0198991	0.0160553	0.0108	0.011533	0.0106	0.00471313	0.0122499	0.0127619	0.0154651	0.00644283	0.00619287	0.0142126	0.0194132	0.0166441	0.0121553	0.00645748	0.0203311	0.00493007	0.0279704	0.00804677	0.00790013	0.00383528	0.0121532	0.0200795	0.01146202	-0.09556522	72.55837	0.1534769	-4.468717	0.05791169	2.650189	0.4092463
100	-4846.478	-4901.814	55.3352	0.268264	0.243628	0.00643297	0.00386338	0.00658707	0.00700424	0.00481829	0.0158629	0.0067291	0.0075018	0.0193958	0.00888067	0.00621784	0.0135761	0.00506803	0.00410347	0.0137392	0.0149977	0.00828821	0.0115863	0.00463261	0.0157741	0.0138296	0.0210227	0.00651306	0.0108368	0.00789842	0.0108503	0.00456446	0.0130328	0.00866807	0.00206286	0.00646503	0.00337177	0.007884739	-0.06055857	76.52541	0.08293325	-4.842826	0.02237467	3.706568	0.3784584
120	-4849.936	-4906.233	56.29733	0.300424	0.187921	0.00677633	0.00375542	0.00776862	0.00522372	0.0103456	0.0120778	0.00608285	0.00740626	0.0170345	0.00802557	0.0102305	0.0122204	0.0137748	0.0062783	0.0172475	0.0107705	0.0162421	0.0161735	0.00961876	0.00759507	0.00682811	0.012807	0.0131683	0.0177073	0.0156305	0.00969847	0.00532141	0.0162288	0.0117139	0.00145839	0.00826887	0.00253093	0.008812588	-0.104836	68.31352	0.12544	-4.731574	0.02060394	6.088156	0.5533326
140	-4853.304	-4911.914	58.61033	0.300992	0.237059	0.00976624	0.00457035	0.00687353	0.0136856	0.0125118	0.0101769	0.00842319	0.0111644	0.0172171	0.00858844	0.0111535	0.0154114	0.0189397	0.0062863	0.0162854	0.0112176	0.0132821	0.0105441	0.00977566	0.0223184	0.010725	0.0277603	0.00531509	0.00626323	0.00955583	0.0117391	0.0149503	0.00845829	0.0121938	0.00348056	0.0192638	0.0112314	0.01063874	-0.1353481	84.01965	0.1478858	-4.543254	0.01253773	11.79526	0.4388854
160	-4840.82	-4910.584	69.76397	0.276094	0.256203	0.00758869	0.00570005	0.00818305	0.00829254	0.00715063	0.0117818	0.00927139	0.00843816	0.0108926	0.00927345	0.00727613	0.010597	0.00639091	0.00479253	0.0133916	0.0117192	0.0151013	0.0145686	0.013696	0.00665082	0.00642247	0.0112771	0.0077497	0.00978051	0.00838181	0.00674945	0.00325687	0.00896384	0.010277	0.00379277	0.00809126	0.0171551	0.008008212	-0.07385231	70.98997	0.1059703	-4.827288	0.03211802	3.299404	0.4205533
180	-4846.335	-4911.548	65.21328	0.317489	0.230307	0.00693268	0.00583928	0.00980909	0.0143214	0.010681	0.00802627	0.00807329	0.0102179	0.0191534	0.0083073	0.0105341	0.0091251	0.020297	0.00452548	0.0112391	0.00687217	0.0124582	0.0149702	0.00617223	0.00967422	0.0054885	0.0155606	0.00921244	0.0113305	0.0149548	0.0106022	0.00918951	0.00838827	0.00465486	0.00928072	0.00440283	0.00988175	0.01057141	-0.05947373	68.76286	0.07437282	-4.549602	0.01489909	4.99177	0.3376518
