Iteration	Posterior	Likelihood	Prior	alpha_cytb[1]	alpha_cytb[2]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates_mean	diversification	extant_mrca	extinction_rate	ln_branch_rates_mean	speciation_rate	turnover	variance_mean
240	-5227.099	-5226.36	-0.7394816	0.118339	0.119293	3.47465	3.51655	3.41658	3.38586	3.46014	3.47424	3.40044	3.40757	3.42855	3.43522	3.36034	3.45386	3.47137	3.41064	3.39951	3.41801	3.42598	3.32583	3.41022	3.40351	3.40929	3.37665	3.47815	3.46551	3.382	3.50577	3.47058	3.49809	3.54556	3.32015	3.38456	3.45001	3.433665	-0.3056735	66.91965	0.3273933	1.233628	0.0217198	15.07349	0.01818487
260	-5232.061	-5230.348	-1.713118	0.118964	0.118182	3.34993	3.50454	3.36491	3.33627	3.34866	3.42336	3.50788	3.47581	3.42357	3.38491	3.40579	3.40751	3.40828	3.3746	3.46037	3.40689	3.37621	3.40583	3.36384	3.5187	3.39279	3.43146	3.3431	3.42327	3.51379	3.45443	3.44293	3.37821	3.37083	3.48268	3.45876	3.45595	3.407619	-0.261449	68.59272	0.2859902	1.226014	0.02454121	11.65347	0.01532635
280	-5240.912	-5232.478	-8.433893	0.119127	0.118684	3.35092	3.3981	3.35331	3.32749	3.22889	3.42212	3.41487	3.33519	3.43056	3.33726	3.40787	3.29811	3.39154	3.37338	3.33403	3.55779	3.42466	3.40985	3.38448	3.46582	3.34356	3.33599	3.4611	3.45465	3.33468	3.54733	3.47618	3.40958	3.36961	3.44052	3.38264	3.35084	3.405787	-0.4326281	81.11465	0.4406251	1.225476	0.007996952	55.09913	0.01941579
300	-5233.948	-5229.224	-4.723592	0.117715	0.120819	3.35297	3.4011	3.47411	3.39746	3.49484	3.39894	3.34572	3.42619	3.42724	3.49387	3.45552	3.45783	3.32223	3.42406	3.33407	3.461	3.47831	3.39754	3.44015	3.52643	3.42302	3.43635	3.30664	3.43811	3.37819	3.42991	3.4256	3.29562	3.37259	3.39396	3.34067	3.41975	3.405065	-0.2170118	67.84888	0.2232026	1.225264	0.006190818	36.05382	0.01494573
320	-5257.92	-5230.751	-27.16947	0.120732	0.111915	3.27517	3.36243	3.5817	3.41664	3.46369	3.37784	3.35298	3.57855	3.40596	3.38858	3.41622	3.24816	3.42313	3.24381	3.36804	3.17748	3.47015	3.4559	3.58412	3.43819	3.44363	3.45427	3.39594	3.11208	3.30961	3.36913	3.33483	3.49555	3.55387	3.44417	3.38555	3.56494	3.411424	-0.4198755	79.14841	0.4438142	1.22713	0.02393867	18.53964	0.03301827
340	-5254.79	-5223.587	-31.20353	0.113282	0.118986	3.48917	3.64512	3.4308	3.59072	3.44535	3.40398	3.62387	3.52278	3.37948	3.43397	3.28973	3.40541	3.53205	3.40249	3.4125	3.47311	3.25439	3.24461	3.43055	3.33802	3.67769	3.45841	3.30857	3.32187	3.28893	3.59356	3.52566	3.29208	3.3095	3.25199	3.48412	3.61135	3.454439	-0.1615035	70.0794	0.1868448	1.23966	0.02534129	7.373135	0.03693575
360	-5253.39	-5225.018	-28.37212	0.11734	0.127644	3.665	3.51497	3.82245	3.42794	3.54461	3.5818	3.56267	3.62914	3.59842	3.50614	3.48039	3.58699	3.31257	3.43623	3.33768	3.39614	3.6321	3.57994	3.42635	3.59938	3.50135	3.54001	3.60398	3.66184	3.26806	3.64127	3.74881	3.34682	3.44454	3.51841	3.41122	3.57519	3.524766	-0.2429762	66.4319	0.308513	1.259814	0.06553685	4.707474	0.03302624
380	-5257.006	-5224.772	-32.23375	0.120996	0.116414	3.26157	3.62138	3.34279	3.44415	3.32711	3.51317	3.40815	3.26084	3.62907	3.76345	3.42263	3.29162	3.41841	3.43495	3.43263	3.63777	3.4034	3.53686	3.56596	3.54965	3.65881	3.70931	3.23687	3.50914	3.50707	3.36868	3.54872	3.4324	3.62157	3.42827	3.50615	3.60155	3.524766	-0.389926	66.67103	0.4411064	1.259814	0.05118033	8.61867	0.03471473
400	-5303.417	-5236.497	-66.91942	0.119734	0.125169	2.91629	3.89419	3.89587	3.34015	3.06006	3.19941	3.29127	4.11701	3.13006	3.81817	3.57262	2.9009	3.77839	3.80644	3.65234	3.67621	2.90721	3.31236	3.20122	3.74496	3.12635	3.83152	3.22163	3.02474	3.49522	4.21681	3.63334	3.41421	3.49544	2.97197	4.31754	3.43397	3.356975	-0.4206286	67.83415	0.5377437	1.21104	0.1171151	4.591584	0.1090814
420	-5295.018	-5225.408	-69.60976	0.124577	0.115828	3.39599	3.75452	4.17831	4.11058	4.33249	4.06302	3.48896	3.77657	2.98352	3.10163	3.8036	3.14131	3.74693	4.15357	3.5369	3.90458	4.22188	4.67098	3.08592	4.10303	3.57369	3.87915	3.94641	3.38498	4.00027	3.16372	3.85196	3.57359	4.10592	3.78232	2.91338	3.86636	3.696796	-0.4087898	67.70858	0.4785898	1.307467	0.06980004	6.856584	0.1265441
