SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree923	-44.7214	0	0.31	0	0	7.813	0	8.187
tree924	-48.1607	0	0.388125	0	0	9.202	0	6.798
tree925	-48.6964	0	0.3725	0	0	8.937	0	7.063
tree926	-48.1607	0	0.388125	0	0	9.199	0	6.801
tree927	-44.7214	0	0.31	0	0	7.76	0	8.24
tree928	-48.6608	0	0.381875	0	0	9.136	0	6.864
tree929	-48.6964	0	0.3725	0	0	8.973	0	7.027
tree930	-48.074	0	0.385	0	0	9.152	0	6.848
tree931	-41.592	0	0.225625	0	0	6.099	0	9.901
tree932	-46.7095	0	0.331875	0	0	8.254	0	7.746
tree933	-47.8393	0	0.363125	0	0	8.76	0	7.24
tree934	-49.0718	0	0.39125	0	0	9.342	0	6.658
tree935	-47.9098	0	0.36625	0	0	8.852	0	7.148
tree936	-48.8683	0	0.37875	0	0	9.058	0	6.942
tree937	-47.8261	0	0.36625	0	0	8.842	0	7.158
tree938	-47.8261	0	0.36625	0	0	8.84	0	7.16
tree939	-48.8683	0	0.37875	0	0	9.008	0	6.992
tree940	-48.8683	0	0.37875	0	0	9.033	0	6.967
tree941	-48.8683	0	0.37875	0	0	9.037	0	6.963
tree942	-47.9098	0	0.36625	0	0	8.807	0	7.193
tree943	-45.7273	0	0.31625	0	0	7.949	0	8.051
tree944	-47.7614	0	0.36625	0	0	8.841	0	7.159
tree945	-50.0755	0	0.3975	0	0	9.382	0	6.618
tree946	-48.8683	0	0.37875	0	0	9.097	0	6.903
tree947	-48.6964	0	0.3725	0	0	8.958	0	7.042
tree948	-48.8683	0	0.37875	0	0	9.045	0	6.955
tree949	-48.6964	0	0.3725	0	0	8.954	0	7.046
tree950	-46.0303	0	0.331875	0	0	8.163	0	7.837
tree951	-46.732	0	0.331875	0	0	8.247	0	7.753
tree952	-46.0423	0	0.288125	0	0	7.385	0	8.615
tree953	-48.8683	0	0.37875	0	0	9.039	0	6.961
tree954	-48.8683	0	0.37875	0	0	8.979	0	7.021
tree955	-48.8683	0	0.37875	0	0	9.07	0	6.93
tree956	-47.9098	0	0.36625	0	0	8.777	0	7.223
tree957	-48.8683	0	0.37875	0	0	9.078	0	6.922
tree958	-48.6608	0	0.381875	0	0	9.069	0	6.931
tree959	-48.8683	0	0.37875	0	0	9.006	0	6.994
tree960	-48.8683	0	0.37875	0	0	9.075	0	6.925
tree961	-47.8393	0	0.363125	0	0	8.764	0	7.236
tree962	-48.8683	0	0.37875	0	0	9.009	0	6.991
tree963	-48.6608	0	0.381875	0	0	9.104	0	6.896
tree964	-46.0303	0	0.331875	0	0	8.257	0	7.743
tree965	-48.6608	0	0.381875	0	0	9.093	0	6.907
tree966	-47.9098	0	0.36625	0	0	8.86	0	7.14
tree967	-48.6608	0	0.381875	0	0	9.1	0	6.9
tree968	-48.8683	0	0.37875	0	0	9.025	0	6.975
tree969	-48.6608	0	0.381875	0	0	9.137	0	6.863
tree970	-48.8683	0	0.37875	0	0	9.08	0	6.92
tree971	-48.6964	0	0.3725	0	0	8.943	0	7.057
tree972	-48.6964	0	0.3725	0	0	8.901	0	7.099
tree973	-47.8393	0	0.363125	0	0	8.801	0	7.199
tree974	-48.8683	0	0.37875	0	0	9.049	0	6.951
tree975	-48.6964	0	0.3725	0	0	8.942	0	7.058
tree976	-48.8683	0	0.37875	0	0	9.059	0	6.941
tree977	-48.6964	0	0.3725	0	0	8.884	0	7.116
tree978	-45.7273	0	0.31625	0	0	7.927	0	8.073
tree979	-48.8683	0	0.37875	0	0	9.072	0	6.928
tree980	-47.8261	0	0.36625	0	0	8.832	0	7.168
tree981	-47.8261	0	0.36625	0	0	8.84	0	7.16
tree982	-48.8683	0	0.37875	0	0	9.11	0	6.89
tree983	-45.7273	0	0.31625	0	0	7.942	0	8.058
tree984	-52.1584	0	0.4225	0	0	9.743	0	6.257
tree985	-48.6964	0	0.3725	0	0	8.925	0	7.075
tree986	-48.6964	0	0.3725	0	0	8.929	0	7.071
tree987	-48.6964	0	0.3725	0	0	8.916	0	7.084
tree988	-45.7273	0	0.31625	0	0	7.932	0	8.068
tree989	-48.6964	0	0.3725	0	0	8.975	0	7.025
tree990	-48.8683	0	0.37875	0	0	9.041	0	6.959
tree991	-46.0303	0	0.331875	0	0	8.244	0	7.756
tree992	-47.8393	0	0.363125	0	0	8.777	0	7.223
tree993	-48.6964	0	0.3725	0	0	8.93	0	7.07
tree994	-45.7273	0	0.31625	0	0	7.907	0	8.093
tree995	-47.9098	0	0.36625	0	0	8.815	0	7.185
tree996	-48.8683	0	0.37875	0	0	9.032	0	6.968
tree997	-45.5321	0	0.319375	0	0	8.025	0	7.975
tree998	-47.9098	0	0.36625	0	0	8.847	0	7.153
tree999	-45.7273	0	0.31625	0	0	7.854	0	8.146
