SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree233	-71.9425	0.324979	0	0.857822	7.466	0	34.451	42.985
tree234	-62.7886	0.288429	0	0.751806	6.39	0	26.521	36.131
tree235	-65.9729	0.279646	0	0.757232	6.384	0	28.487	38.103
tree236	-71.9439	0.312326	0	0.827731	7.401	0	32.882	41.481
tree237	-65.8073	0.281707	0	0.760745	6.432	0	28.67	38.238
tree238	-65.8073	0.281707	0	0.760745	6.382	0	28.571	38.189
tree239	-67.7003	0.2991	0	0.794762	6.459	0	30.362	39.903
tree240	-65.8409	0.276605	0	0.753571	6.379	0	28.9	38.521
tree241	-71.4679	0.317876	0	0.835331	7.373	0	32.863	41.49
tree242	-66.1082	0.28125	0	0.760194	6.413	0	28.574	38.161
tree243	-63.9522	0.309378	0	0.803225	6.548	0	28.626	38.078
tree244	-71.9439	0.312326	0	0.827731	7.41	0	32.919	41.509
tree245	-65.8073	0.281707	0	0.760745	6.415	0	28.618	38.203
tree246	-65.8073	0.281707	0	0.760745	6.426	0	28.63	38.204
tree247	-71.9439	0.312326	0	0.827731	7.358	0	32.779	41.421
tree248	-66.1082	0.28125	0	0.760194	6.381	0	28.486	38.105
tree249	-72.246	0.309471	0	0.818562	7.367	0	32.808	41.441
tree250	-73.2108	0.315562	0	0.837696	7.399	0	33.935	42.536
tree251	-65.8073	0.281707	0	0.760745	6.392	0	28.567	38.175
tree252	-71.9425	0.324979	0	0.857822	7.455	0	34.476	43.021
tree253	-65.8073	0.281707	0	0.760745	6.414	0	28.614	38.2
tree254	-73.2108	0.315562	0	0.837696	7.376	0	33.878	42.502
tree255	-72.246	0.309471	0	0.818562	7.391	0	32.86	41.469
tree256	-65.8073	0.281707	0	0.760745	6.378	0	28.509	38.131
tree257	-65.4756	0.287161	0	0.773267	6.422	0	28.621	38.199
tree258	-59.5686	0.256498	0	0.704582	5.53	0	24.72	35.19
tree259	-69.4634	0.323211	0	0.84292	7.45	0	32.155	40.705
tree260	-71.9439	0.312326	0	0.827731	7.354	0	32.787	41.433
tree261	-66.1082	0.28125	0	0.760194	6.378	0	28.475	38.097
tree262	-73.2108	0.315562	0	0.837696	7.412	0	33.919	42.507
tree263	-65.4756	0.287161	0	0.773267	6.471	0	28.745	38.274
tree264	-71.9425	0.324979	0	0.857822	7.477	0	34.548	43.071
tree265	-64.4759	0.282386	0	0.752647	6.39	0	27.578	37.188
tree266	-65.8073	0.281707	0	0.760745	6.395	0	28.624	38.229
tree267	-71.5648	0.312636	0	0.831769	7.394	0	32.899	41.505
tree268	-72.246	0.309471	0	0.818562	7.352	0	32.685	41.333
tree269	-71.4679	0.317876	0	0.835331	7.404	0	32.933	41.529
tree270	-65.8073	0.281707	0	0.760745	6.372	0	28.555	38.183
tree271	-66.9908	0.298602	0	0.795833	6.669	0	29.96	39.291
tree272	-76.2112	0.311404	0	0.847744	7.384	0	36.178	44.794
tree273	-71.9439	0.312326	0	0.827731	7.366	0	32.778	41.412
tree274	-73.2108	0.315562	0	0.837696	7.398	0	33.927	42.529
tree275	-65.8073	0.281707	0	0.760745	6.41	0	28.601	38.191
tree276	-71.8614	0.314764	0	0.829878	7.443	0	32.984	41.541
tree277	-62.425	0.287484	0	0.753561	6.446	0	26.786	36.34
tree278	-73.2108	0.315562	0	0.837696	7.399	0	33.928	42.529
tree279	-65.8073	0.281707	0	0.760745	6.411	0	28.576	38.165
tree280	-73.23	0.315139	0	0.83996	7.411	0	33.913	42.502
tree281	-73.2108	0.315562	0	0.837696	7.37	0	33.888	42.518
tree282	-67.8353	0.295316	0	0.783743	6.622	0	29.799	39.177
tree283	-65.4756	0.287161	0	0.773267	6.408	0	28.608	38.2
tree284	-65.944	0.254285	0	0.740772	5.455	0	29.333	39.878
tree285	-71.9439	0.312326	0	0.827731	7.402	0	32.805	41.403
tree286	-71.5648	0.312636	0	0.831769	7.367	0	32.786	41.419
tree287	-74.3947	0.322277	0	0.860391	7.471	0	35.424	43.953
tree288	-73.2108	0.315562	0	0.837696	7.389	0	33.917	42.528
tree289	-71.9439	0.312326	0	0.827731	7.396	0	32.875	41.479
tree290	-71.9425	0.324979	0	0.857822	7.474	0	34.513	43.039
tree291	-73.5295	0.31561	0	0.834562	7.371	0	33.85	42.479
tree292	-71.5648	0.312636	0	0.831769	7.388	0	32.851	41.463
tree293	-65.4756	0.287161	0	0.773267	6.423	0	28.656	38.233
tree294	-65.7774	0.283197	0	0.763737	6.438	0	28.707	38.269
tree295	-72.246	0.309471	0	0.818562	7.396	0	32.865	41.469
tree296	-72.0568	0.307985	0	0.823439	7.367	0	32.772	41.405
tree297	-65.4756	0.287161	0	0.773267	6.417	0	28.595	38.178
tree298	-71.9439	0.312326	0	0.827731	7.389	0	32.841	41.452
tree299	-66.1044	0.28125	0	0.760194	6.374	0	28.546	38.172
tree300	-71.5597	0.324325	0	0.867261	7.425	0	34.391	42.966
tree301	-71.9439	0.312326	0	0.827731	7.368	0	32.813	41.445
tree302	-75.9076	0.316496	0	0.856849	7.447	0	36.348	44.901
tree303	-65.4756	0.287161	0	0.773267	6.374	0	28.563	38.189
tree304	-71.5597	0.324325	0	0.867261	7.464	0	34.537	43.073
tree305	-67.9157	0.248237	0	0.733672	5.395	0	30.163	40.768
tree306	-65.8073	0.281707	0	0.760745	6.4	0	28.575	38.175
tree307	-75.9076	0.316496	0	0.856849	7.426	0	36.278	44.852
tree308	-58.1161	0.255462	0	0.689117	5.43	0	23.38	33.95
tree309	-72.4823	0.292255	0	0.809799	6.538	0	33.562	43.024
tree310	-62.425	0.287484	0	0.753561	6.458	0	26.829	36.371
tree311	-73.2108	0.315562	0	0.837696	7.406	0	33.917	42.511
tree312	-72.911	0.317293	0	0.847886	7.421	0	33.989	42.568
tree313	-71.9425	0.324979	0	0.857822	7.441	0	34.408	42.967
tree314	-62.6918	0.285	0	0.7375	6.409	0	26.682	36.273
tree315	-65.6373	0.30009	0	0.785558	6.645	0	28.893	38.248
tree316	-65.4756	0.287161	0	0.773267	6.444	0	28.783	38.339
tree317	-69.1429	0.330082	0	0.851155	7.451	0	32.466	41.015
tree318	-70.4402	0.313542	0	0.820769	7.365	0	31.8	40.435
tree319	-65.8073	0.281707	0	0.760745	6.394	0	28.611	38.217
tree320	-67.7256	0.280779	0	0.766217	6.402	0	29.618	39.216
tree321	-62.5235	0.285999	0	0.749859	6.378	0	26.878	36.5
tree322	-65.8073	0.281707	0	0.760745	6.382	0	28.579	38.197
tree323	-72.911	0.317293	0	0.847886	7.427	0	34.009	42.582
tree324	-71.8679	0.314764	0	0.829878	7.375	0	32.798	41.423
tree325	-67.6229	0.252606	0	0.743797	5.467	0	30.37	40.903
tree326	-76.2112	0.311404	0	0.847744	7.405	0	36.197	44.792
tree327	-70.6211	0.316865	0	0.822041	7.428	0	31.936	40.508
tree328	-66.9372	0.303599	0	0.805285	6.543	0	30.549	40.006
tree329	-65.8073	0.281707	0	0.760745	6.397	0	28.576	38.179
tree330	-66.3029	0.280702	0	0.758245	6.4	0	28.509	38.109
tree331	-70.1679	0.317286	0	0.827359	7.419	0	31.919	40.5
tree332	-74.1162	0.317727	0	0.855097	7.425	0	35.304	43.879
tree333	-72.1026	0.312067	0	0.82575	7.383	0	32.82	41.437
tree334	-68.2806	0.290122	0	0.798734	6.475	0	31.508	41.033
tree335	-65.9543	0.292031	0	0.776562	6.428	0	28.784	38.356
tree336	-62.7886	0.288429	0	0.751806	6.404	0	26.581	36.177
tree337	-62.453	0.289792	0	0.757673	6.399	0	26.606	36.207
tree338	-72.3637	0.309471	0	0.818562	7.388	0	32.846	41.458
tree339	-73.23	0.315139	0	0.83996	7.371	0	33.847	42.476
tree340	-66.1082	0.28125	0	0.760194	6.388	0	28.539	38.151
tree341	-68.8125	0.316594	0	0.813409	7.421	0	30.971	39.55
tree342	-65.8073	0.281707	0	0.760745	6.415	0	28.612	38.197
tree343	-72.246	0.309471	0	0.818562	7.385	0	32.843	41.458
tree344	-73.2108	0.315562	0	0.837696	7.348	0	33.777	42.429
tree345	-66.9908	0.298602	0	0.795833	6.654	0	29.925	39.271
tree346	-71.5648	0.312636	0	0.831769	7.397	0	32.829	41.432
tree347	-69.0626	0.279527	0	0.773923	6.403	0	30.864	40.461
tree348	-73.2108	0.315562	0	0.837696	7.44	0	34.042	42.602
tree349	-72.911	0.317293	0	0.847886	7.439	0	34.02	42.581
tree350	-73.2108	0.315562	0	0.837696	7.421	0	33.918	42.497
tree351	-71.5648	0.312636	0	0.831769	7.377	0	32.879	41.502
tree352	-65.8073	0.281707	0	0.760745	6.418	0	28.633	38.215
tree353	-72.911	0.317293	0	0.847886	7.418	0	33.997	42.579
tree354	-65.8073	0.281707	0	0.760745	6.405	0	28.638	38.233
tree355	-67.2179	0.299944	0	0.799118	6.497	0	30.45	39.953
tree356	-71.4679	0.317876	0	0.835331	7.455	0	33.062	41.607
tree357	-73.2108	0.315562	0	0.837696	7.432	0	33.978	42.546
tree358	-67.2179	0.299944	0	0.799118	6.522	0	30.482	39.96
tree359	-63.2674	0.284203	0	0.739138	6.385	0	26.602	36.217
tree360	-62.4574	0.289792	0	0.757673	6.416	0	26.583	36.167
tree361	-72.246	0.309471	0	0.818562	7.385	0	32.826	41.441
tree362	-67.2179	0.299944	0	0.799118	6.496	0	30.452	39.956
tree363	-65.3864	0.288079	0	0.77652	6.451	0	28.795	38.344
tree364	-67.7003	0.2991	0	0.794762	6.515	0	30.493	39.978
tree365	-72.911	0.317293	0	0.847886	7.426	0	33.947	42.521
tree366	-64.4471	0.284962	0	0.753133	6.403	0	27.574	37.171
tree367	-66.8604	0.313198	0	0.804517	7.383	0	29.876	38.493
tree368	-73.2108	0.315562	0	0.837696	7.425	0	33.982	42.557
tree369	-69.0013	0.321986	0	0.821779	7.396	0	30.873	39.477
tree370	-65.8073	0.281707	0	0.760745	6.413	0	28.65	38.237
tree371	-65.8073	0.281707	0	0.760745	6.4	0	28.626	38.226
tree372	-65.7774	0.283197	0	0.763737	6.405	0	28.56	38.155
tree373	-64.661	0.286513	0	0.754377	6.455	0	27.635	37.18
tree374	-70.4084	0.317473	0	0.823671	7.431	0	32.01	40.579
tree375	-71.8679	0.314764	0	0.829878	7.383	0	32.874	41.491
tree376	-73.2108	0.315562	0	0.837696	7.452	0	34.048	42.596
tree377	-72.246	0.309471	0	0.818562	7.415	0	32.891	41.476
tree378	-66.1082	0.28125	0	0.760194	6.381	0	28.539	38.158
tree379	-62.4574	0.289792	0	0.757673	6.404	0	26.604	36.2
tree380	-64.3272	0.282401	0	0.750493	6.401	0	27.588	37.187
tree381	-69.0013	0.321986	0	0.821779	7.409	0	30.853	39.444
tree382	-72.4823	0.292255	0	0.809799	6.48	0	33.39	42.91
tree383	-74.3918	0.322277	0	0.860391	7.402	0	35.221	43.819
tree384	-76.2112	0.311404	0	0.847744	7.436	0	36.309	44.873
tree385	-66.1044	0.28125	0	0.760194	6.391	0	28.528	38.137
tree386	-67.4157	0.252799	0	0.747452	5.425	0	30.276	40.851
tree387	-70.028	0.321751	0	0.836225	7.446	0	32.049	40.603
tree388	-72.911	0.317293	0	0.847886	7.429	0	33.989	42.56
tree389	-67.2179	0.299944	0	0.799118	6.492	0	30.464	39.972
tree390	-72.246	0.309471	0	0.818562	7.384	0	32.814	41.43
tree391	-68.795	0.279805	0	0.780008	6.396	0	30.887	40.491
tree392	-65.8073	0.281707	0	0.760745	6.411	0	28.593	38.182
tree393	-68.6666	0.317659	0	0.819833	7.419	0	30.994	39.575
tree394	-66.1082	0.28125	0	0.760194	6.37	0	28.48	38.11
tree395	-64.4471	0.284962	0	0.753133	6.371	0	27.511	37.14
tree396	-69.8631	0.322275	0	0.835366	7.421	0	31.986	40.565
tree397	-67.6229	0.252606	0	0.743797	5.437	0	30.257	40.82
tree398	-65.7774	0.283197	0	0.763737	6.372	0	28.519	38.147
tree399	-65.7774	0.283197	0	0.763737	6.396	0	28.575	38.179
tree400	-65.4756	0.287161	0	0.773267	6.423	0	28.665	38.242
tree401	-65.8073	0.281707	0	0.760745	6.39	0	28.599	38.209
tree402	-58.1016	0.248214	0	0.676789	5.352	0	23.093	33.741
tree403	-64.1165	0.286124	0	0.758659	6.426	0	27.676	37.25
tree404	-63.6702	0.312053	0	0.80518	6.604	0	28.759	38.155
tree405	-71.5648	0.312636	0	0.831769	7.406	0	32.902	41.496
tree406	-75.9076	0.316496	0	0.856849	7.423	0	36.24	44.817
tree407	-68.6228	0.32253	0	0.823696	7.432	0	31.022	39.59
tree408	-66.1082	0.28125	0	0.760194	6.397	0	28.536	38.139
tree409	-73.2108	0.315562	0	0.837696	7.423	0	33.964	42.541
tree410	-71.8633	0.311197	0	0.826043	7.387	0	32.862	41.475
tree411	-62.7886	0.288429	0	0.751806	6.4	0	26.588	36.188
tree412	-71.8997	0.320322	0	0.831141	7.404	0	32.955	41.551
tree413	-65.8073	0.281707	0	0.760745	6.431	0	28.673	38.242
tree414	-66.1082	0.28125	0	0.760194	6.385	0	28.585	38.2
tree415	-65.8073	0.281707	0	0.760745	6.402	0	28.596	38.194
tree416	-65.4756	0.287161	0	0.773267	6.427	0	28.657	38.23
tree417	-66.1044	0.28125	0	0.760194	6.412	0	28.636	38.224
tree418	-71.5597	0.324325	0	0.867261	7.447	0	34.466	43.019
tree419	-71.9439	0.312326	0	0.827731	7.414	0	32.902	41.488
tree420	-72.246	0.309471	0	0.818562	7.368	0	32.823	41.455
tree421	-65.8073	0.281707	0	0.760745	6.402	0	28.628	38.226
tree422	-65.8409	0.276605	0	0.753571	6.371	0	28.899	38.528
tree423	-65.8073	0.281707	0	0.760745	6.374	0	28.518	38.144
tree424	-75.9078	0.316496	0	0.856849	7.423	0	36.274	44.851
tree425	-73.7388	0.310806	0	0.826914	7.362	0	33.749	42.387
tree426	-65.7739	0.278762	0	0.75647	6.396	0	28.536	38.14
tree427	-71.8679	0.314764	0	0.829878	7.417	0	32.959	41.542
tree428	-64.1458	0.285757	0	0.754187	6.42	0	27.625	37.205
tree429	-66.9372	0.303599	0	0.805285	6.548	0	30.568	40.02
tree430	-71.9425	0.324979	0	0.857822	7.429	0	34.347	42.918
tree431	-71.9439	0.312326	0	0.827731	7.409	0	32.908	41.499
tree432	-67.2179	0.299944	0	0.799118	6.509	0	30.53	40.021
tree433	-65.4756	0.287161	0	0.773267	6.416	0	28.616	38.2
tree434	-67.2179	0.299944	0	0.799118	6.538	0	30.539	40.001
tree435	-65.8073	0.281707	0	0.760745	6.415	0	28.611	38.196
tree436	-62.425	0.287484	0	0.753561	6.405	0	26.696	36.291
tree437	-68.5062	0.283438	0	0.782812	6.375	0	30.813	40.438
tree438	-70.243	0.31641	0	0.822894	7.409	0	31.907	40.498
tree439	-63.2674	0.284203	0	0.739138	6.406	0	26.689	36.283
tree440	-62.0894	0.291487	0	0.76261	6.417	0	26.678	36.261
