Duplication Transfer Losses Speciations
 	0.008	7.403	3.527	12.116
 	0.001	6.473	5.118	14.644
 	0	7.074	2.738	11.664
 	0	6.841	3.864	13.023
 	0	7.391	2.641	11.25
 	0	6.436	4.499	14.063
 	0	8.084	4.119	12.035
 	0	5.799	4.842	15.043
 	0	5.065	4.412	15.347
 	0	4.042	0	11.958
 	0	6.745	3.978	13.233
 	0	5.663	4.348	14.685
 	0	8.084	4.158	12.074
 	0	5.976	3.538	13.562
 	0	5.798	3.288	13.49
 	0	6.727	3.918	13.191
 	0	6.403	0	9.597
 	0	7.211	4.42	13.209
 	0	6.445	4.421	13.976
 	0	6.337	2.747	12.41
 	0.003	6.619	1.871	11.249
 	0	7.161	5.011	13.85
 	0	6.474	5.201	14.727
 	0	6.993	2.606	11.613
 	0	7.303	2.795	11.492
 	0	6.776	3.94	13.164
 	0	6.91	2.891	11.981
 	0	4.537	3.952	15.415
 	0	7.496	2.853	11.357
 	0	4.851	4.434	15.583
 	0	6.432	4.447	14.015
 	0.001	7.725	5.295	13.569
 	0	7.499	4.154	12.655
 	0	6.435	4.457	14.022
 	0	6.657	4.738	14.081
 	0	4.625	4.278	15.653
 	0	7.314	3.375	12.061
 	0	8.025	4.336	12.311
 	0	6.968	4.276	13.308
 	0	6.089	3.631	13.542
 	0	7.527	4.272	12.745
 	0	5.553	4.061	14.508
 	0	6.81	3.97	13.16
 	0	6.384	5.305	14.921
 	0	7.506	2.835	11.329
 	0	6.319	0	9.681
 	0	4.916	4.395	15.479
 	0	4.948	4.249	15.301
 	0	6.967	4.837	13.87
 	0	7.594	3.074	11.48
 	0	6.39	4.462	14.072
 	0	7.519	4.373	12.854
 	0	4.474	3.932	15.458
 	0	4.573	3.898	15.325
 	0	7.116	2.805	11.689
 	0	5.82	4.864	15.044
 	0	4.502	3.94	15.438
 	0	4.529	3.903	15.374
 	0	5.53	4.089	14.559
 	0	6.855	3.824	12.969
 	0	5.212	3.546	14.334
 	0	7.528	4.136	12.608
 	0	5.862	4.864	15.002
 	0	4.893	4.246	15.353
 	0	6.078	3.639	13.561
 	0	6.64	5.143	14.503
 	0	7.728	4.17	12.442
 	0	5.023	4.246	15.223
 	0	7.064	4.872	13.808
 	0	5.819	5.215	15.396
 	0	4.974	2.851	13.877
 	0	6.824	3.956	13.132
 	0	4.512	3.047	14.535
 	0	5.827	4.938	15.111
 	0	4.947	4.273	15.326
 	0	5.62	3.98	14.36
 	0	6.403	4.468	14.065
 	0	6.463	4.464	14.001
 	0	6.466	5.272	14.806
 	0	6.965	4.862	13.897
 	0	6.385	4.392	14.007
 	0	8.258	4.751	12.493
 	0	6.379	4.529	14.15
 	0	4.521	3.932	15.411
 	0	7.592	4.237	12.645
 	0	6.815	2.863	12.048
 	0	8.129	4.059	11.93
 	0	6.358	0	9.642
 	0	6.665	4.711	14.046
 	0	6.959	3.028	12.069
 	0	7.004	4.868	13.864
 	0	7.963	4.093	12.13
 	0	7.418	2.746	11.328
 	0	5.117	4.07	14.953
 	0	6.529	4.798	14.269
 	0	8.109	4.107	11.998
 	0	6.099	1.206	11.107
 	0	6.742	4.077	13.335
 	0.002	6.905	3.493	12.586
 	0	4.955	4.236	15.281
 	0	6.261	2.73	12.469
 	0	7.501	4.035	12.534
 	0	4.922	4.245	15.323
 	0	8	5.325	13.325
 	0	5.946	3.477	13.531
 	0	4.92	4.259	15.339
 	0	6.712	3.872	13.16
 	0	7.143	4.455	13.312
 	0	7.081	4.399	13.318
 	0	5.654	4.981	15.327
 	0	7.045	2.729	11.684
 	0	4.939	4.265	15.326
 	0	7.534	4.482	12.948
 	0	7.13	4.375	13.245
 	0.001	8.05	4.218	12.167
 	0	6.978	4.801	13.823
 	0	7.459	3.099	11.64
 	0	7.459	5.131	13.672
 	0	7.301	3.153	11.852
 	0	7.446	4.367	12.921
 	0	7.877	4.754	12.877
 	0	7.143	3.634	12.491
 	0	6.83	4.471	13.641
 	0	7.217	5.275	14.058
 	0	6.832	2.984	12.152
 	0	4.53	3.937	15.407
 	0	4.925	3.975	15.05
 	0	6.32	4.434	14.114
 	0	7.48	2.415	10.935
 	0	4.939	4.262	15.323
 	0	7.451	4.678	13.227
 	0.001	7.036	3.002	11.965
 	0	5.824	4.826	15.002
 	0	7.449	4.961	13.512
 	0.007	6.594	4.357	13.756
 	0	7.581	3.187	11.606
 	0	4.578	3.484	14.906
 	0	6.903	4.813	13.91
 	0	6.413	4.468	14.055
 	0	7.198	4.661	13.463
 	0	7.147	4.487	13.34
 	0	6.367	5.147	14.78
 	0	6.876	3.868	12.992
 	0	7.15	4.456	13.306
 	0	7.147	2.703	11.556
 	0	6.28	2.734	12.454
 	0	6.61	4.427	13.817
 	0	5.09	0	10.91
 	0	6.695	4.541	13.846
 	0	4.536	3.922	15.386
 	0	6.3	2.759	12.459
 	0	6.931	4.919	13.988
 	0	7.555	3.141	11.586
 	0	4.517	3.874	15.357
 	0	6.397	4.427	14.03
 	0	6.376	4.531	14.155
 	0	6.793	2.043	11.25
 	0	6.754	4.539	13.785
 	0.002	8.273	4.854	12.579
 	0	7.467	4.519	13.052
 	0	7.102	4.389	13.287
 	0	6.815	3.923	13.108
 	0	4.528	3.905	15.377
 	0	6.372	4.504	14.132
 	0	6.429	4.433	14.004
 	0	4.526	3.923	15.397
 	0	7.128	4.446	13.318
 	0	4.938	4.285	15.347
 	0	7.045	2.632	11.587
 	0	6.715	4.001	13.286
 	0	6.365	4.49	14.125
 	0	6.265	2.703	12.438
 	0	6.433	4.453	14.02
 	0	6.731	3.996	13.265
 	0	4.906	4.26	15.354
 	0	6.386	4.434	14.048
 	0	7.106	4.482	13.376
 	0	5.482	5.229	15.747
 	0	7.41	5.113	13.703
 	0	6.845	3.991	13.146
 	0	4.589	3.908	15.319
 	0	7.156	4.438	13.282
 	0	6.763	3.953	13.19
 	0	7.232	4.613	13.381
 	0.001	6.271	2.733	12.461
 	0	6.899	4.81	13.911
 	0	6.406	4.395	13.989
 	0	5.859	4.886	15.027
 	0	4.863	4.24	15.377
 	0	7.519	4.515	12.996
 	0	6.914	2.969	12.055
